일시,태양광 이용률,합계전천일사량(MJ/m2)
2015-07-31,15.8,15.49
2015-08-01,14.56,14
2015-08-02,8.65,8.57
2015-08-03,14.65,16.1
2015-08-04,15.6,14.28
2015-08-05,15.52,17.95
2015-08-06,19.27,19.4
2015-08-07,19.15,16.24
2015-08-08,13.28,13.6
2015-08-09,17.56,15.45
2015-08-10,16.08,12.67
2015-08-11,12.76,12.55
2015-08-12,19.91,18.62
2015-08-13,16.24,15.85
2015-08-14,18.75,17.67
2015-08-15,17.53,16.1
2015-08-16,9.84,7.01
2015-08-17,19.68,18.89
2015-08-18,20.17,18.39
2015-08-19,11.89,10.29
2015-08-20,9.27,8.92
2015-08-21,11.35,9.83
2015-08-22,13.32,10.49
2015-08-23,18.45,16.52
2015-08-24,12.68,10.27
2015-08-25,4.56,3.59
2015-08-26,14.12,13.75
2015-08-27,21.63,19.11
2015-08-28,15.69,11.83
2015-08-29,19.19,16.65
2015-08-30,19.99,18.48
2015-08-31,18.32,16.37
2015-09-01,15.52,14.86
2015-09-02,10.68,8.78
2015-09-03,15.82,11.81
2015-09-04,17.51,16.24
2015-09-05,6.03,6.67
2015-09-06,11.35,10.83
2015-09-07,21.87,18.87
2015-09-08,22.71,19.68
2015-09-09,22.9,19.37
2015-09-10,21.29,17.83
2015-09-11,8.86,6.73
2015-09-12,12.28,10.4
2015-09-13,22.38,18.42
2015-09-14,19.29,16.32
2015-09-15,20.77,17.43
2015-09-16,19.66,16.09
2015-09-17,21.42,17.79
2015-09-18,20.1,15.74
2015-09-19,19.68,15.06
2015-09-20,15.01,13.77
2015-09-21,17.92,14.04
2015-09-22,19.02,16.14
2015-09-23,7.65,5.6
2015-09-24,16.9,13.24
2015-09-25,16.05,12.68
2015-09-26,14.25,11.78
2015-09-27,19.84,15.87
2015-09-28,14.51,13.22
2015-09-29,19.57,15.86
2015-09-30,11.41,8.89
2015-10-01,1.52,1.52
2015-10-02,17.69,14.29
2015-10-03,18,14.3
2015-10-04,15.66,11.96
2015-10-05,19.39,14.41
2015-10-06,17.96,13.51
2015-10-07,13.61,10.92
2015-10-08,16.31,12.26
2015-10-09,20.54,15.3
2015-10-10,7.45,4.56
2015-10-11,6.23,4.15
2015-10-12,19.17,13.59
2015-10-13,18.49,13.65
2015-10-14,16.91,12.35
2015-10-15,16.63,12.06
2015-10-16,14.32,9.03
2015-10-17,16.05,11.81
2015-10-18,13.23,10.1
2015-10-19,12.02,10.16
2015-10-20,11.93,9.37
2015-10-21,10.08,8.39
2015-10-22,10,9.14
2015-10-23,8.52,9.85
2015-10-24,12.7,8.92
2015-10-25,15.91,11.32
2015-10-26,7.87,6.46
2015-10-27,10.87,8.64
2015-10-28,16.47,11.47
2015-10-29,14.86,10.74
2015-10-30,18.15,12.3
2015-10-31,17.16,12.13
2015-11-01,8.72,7.16
2015-11-02,10.61,9.1
2015-11-03,13.11,9.84
2015-11-04,13.77,10.17
2015-11-05,11.64,8
2015-11-06,9.97,7.77
2015-11-07,1.29,1.42
2015-11-08,1.68,1.55
2015-11-09,4.6,2.44
2015-11-10,7.03,6.01
2015-11-11,9.74,8.14
2015-11-12,12.64,9.71
2015-11-13,1.32,1.23
2015-11-14,2.38,1.55
2015-11-15,9.33,8.13
2015-11-16,2.51,2.59
2015-11-17,12.31,8.88
2015-11-18,0.98,1.04
2015-11-19,2.59,2.28
2015-11-20,6.76,4.34
2015-11-21,10.57,6.91
2015-11-22,7.16,5.92
2015-11-23,3.26,2.84
2015-11-24,5.03,3.92
2015-11-25,1.57,2.11
2015-11-26,3.66,4.78
2015-11-27,6.36,4.41
2015-11-28,3.13,2.59
2015-11-29,1.5,1.04
2015-11-30,12.17,7.89
2015-12-01,12.85,7.8
2015-12-02,1.2,1.07
2015-12-03,2.05,1.87
2015-12-04,5.04,5.12
2015-12-05,9.28,7.6
2015-12-06,9.32,6.94
2015-12-07,10.62,8.1
2015-12-08,11.86,7.95
2015-12-09,9.36,6.55
2015-12-10,1.39,1.62
2015-12-11,10.16,6.33
2015-12-12,13.28,8.01
2015-12-13,12.33,7.45
2015-12-14,1.74,1.63
2015-12-15,4.74,3.35
2015-12-16,10.33,6.77
2015-12-17,13.82,8.52
2015-12-18,2.18,2.17
2015-12-19,11.45,7.92
2015-12-20,5.82,3.93
2015-12-21,3.14,2.3
2015-12-22,10.25,6.66
2015-12-23,7.16,4.94
2015-12-24,7.13,5.52
2015-12-25,14.14,8.43
2015-12-26,5.62,5.14
2015-12-27,14.31,8.64
2015-12-28,14.14,8.39
2015-12-29,10.75,6.91
2015-12-30,8.33,5.97
2015-12-31,7.12,5.52
2016-01-01,6.46,4.52
2016-01-02,6.58,4.15
2016-01-03,5.59,4.03
2016-01-04,12.57,7.48
2016-01-05,11.14,6.59
2016-01-06,6.36,4.87
2016-01-07,13.97,8.55
2016-01-08,13.71,8.63
2016-01-09,13.19,7.23
2016-01-10,12.17,7.75
2016-01-11,14.22,8.92
2016-01-12,14.43,9.05
2016-01-13,9.28,6.05
2016-01-14,9.75,8.2
2016-01-15,9.45,7.37
2016-01-16,5.14,4.01
2016-01-17,4.56,3.61
2016-01-18,10.9,7.04
2016-01-19,14.74,9.93
2016-01-20,11.46,7.71
2016-01-21,11.14,7.18
2016-01-22,10.76,7.9
2016-01-23,13.88,9.74
2016-01-24,13.84,9.51
2016-01-25,15.68,9.93
2016-01-26,7.16,5.77
2016-01-27,12.62,8.1
2016-01-28,6.7,5.61
2016-01-29,4.47,3.53
2016-01-30,11.11,7.65
2016-01-31,14.21,9.01
2016-02-01,16.91,10.73
2016-02-02,17.11,10.68
2016-02-03,14.81,9.84
2016-02-04,14.04,9.67
2016-02-05,14.18,9.42
2016-02-06,17.04,10.97
2016-02-07,17.59,11.36
2016-02-08,6.59,6.09
2016-02-09,16.77,11.77
2016-02-10,17.77,12
2016-02-11,9.85,7.46
2016-02-12,1.06,1.02
2016-02-13,3.97,3.76
2016-02-14,3.09,3.24
2016-02-15,20.17,13.18
2016-02-16,7.07,5.77
2016-02-17,19.02,13.01
2016-02-18,10.5,7.11
2016-02-19,5.11,3.41
2016-02-20,16.86,11.71
2016-02-21,18.75,13.62
2016-02-22,7.2,5.08
2016-02-23,17.24,11.37
2016-02-24,20.79,14.39
2016-02-25,14.38,9.74
2016-02-26,18.87,13.17
2016-02-27,11.41,9.51
2016-02-28,3.64,3.17
2016-02-29,4.59,10.43
2016-03-01,15.19,14.29
2016-03-02,10.94,10.06
2016-03-03,11.21,9
2016-03-04,16.65,13.31
2016-03-05,2.3,1.96
2016-03-06,18.15,13.65
2016-03-07,5.28,3.97
2016-03-08,8.9,5.79
2016-03-09,21.45,15.19
2016-03-10,23.15,16.58
2016-03-11,22.84,16.36
2016-03-12,14.13,10.52
2016-03-13,7.01,6.67
2016-03-14,17.25,13.25
2016-03-15,19.76,14.98
2016-03-16,20.44,15.49
