일시,태양광 이용률,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계전천일사량(MJ/m2)
2020-12-29,2.39,-0.86,0.22,1.82,79.7,2.35
2020-12-30,12.47,-10.36,0,3.4,51.36,11.02
2020-12-31,11.78,-9.46,0,1.34,59.64,8.47
2021-01-01,10.53,-6.06,0,0.96,76.34,8.62
2021-01-02,13.41,-5.16,0,1.82,42.44,10.59
2021-01-03,9.84,-6.56,0,1.2,52.24,8.25
2021-01-04,8.72,-5.06,0.18,0.86,60.9,6.03
2021-01-05,12.73,-5.48,0.02,2.04,53.32,10.52
2021-01-06,14.01,-8.28,2.84,1.56,59.92,10.93
2021-01-07,4.97,-14.46,0.22,3.34,50.36,11.95
2021-01-08,7.34,-15.12,0,1.98,47.54,11.64
2021-01-09,8.55,-13.44,0,1.44,54.96,10.64
2021-01-10,9.55,-10.26,0,0.72,64.68,11.14
2021-01-11,4.26,-9.38,0,0.64,74.94,4.38
2021-01-12,6.83,-6.32,1.6,0.92,87.1,7.33
2021-01-13,7.63,0.8,0,1.32,85.52,9.09
2021-01-14,11.87,-0.16,0,1.02,57.98,10.1
2021-01-15,2.92,2.78,0.3,2,73.08,3.83
2021-01-16,12.51,-4.48,0,2.26,61.86,10.3
2021-01-17,13.83,-6.44,0.42,1.3,61.8,10.42
2021-01-18,3.38,-4.46,1.38,2.34,71.12,5.41
2021-01-19,14.13,-8.14,0,0.92,52.9,11.85
2021-01-20,13.98,-3.1,0,0.84,54.7,11.62
2021-01-21,3.67,2.58,6.38,0.66,74.66,3.2
2021-01-22,3.05,4.58,0.16,0.72,97.34,2.9
2021-01-23,8.41,6.34,0,1.8,72.48,7.29
2021-01-24,14.95,5.04,0,1,73.48,11.7
2021-01-25,12.44,4.84,0,0.78,74.64,10.82
2021-01-26,2.27,3.34,2.46,1.02,90.58,1.67
2021-01-27,14.31,1.36,0,1.34,55.86,11.47
2021-01-28,5.89,-3.34,2.42,3.5,59.88,6.97
2021-01-29,17.17,-8.8,0,2.48,43.38,13.64
2021-01-30,10.32,-2.68,0.08,1.3,64.9,9.07
2021-01-31,13,1.54,0,1.06,67.96,11.63
2021-02-01,7.07,4.32,1.9,1.88,83.72,5.55
2021-02-02,17.56,-5.1,0.1,3.16,47.26,14.05
2021-02-03,14.99,-3.98,4.24,1.54,68.28,12.86
2021-02-04,5.65,-4.4,0.88,1.72,54.8,10.54
2021-02-05,8.77,-0.6,0,1.12,74.96,9.85
2021-02-06,7.08,5.46,0,1.5,80.4,7.01
2021-02-07,12.02,3.64,0,2,68.52,10
2021-02-08,19.13,-2.62,0,2.76,42.66,15.09
2021-02-09,18.16,-1.8,0,1.3,56.1,14.75
2021-02-10,7.16,1.36,0,0.92,77.26,6.09
2021-02-11,12.98,3.24,0,0.68,78.8,11.76
2021-02-12,15.99,4.12,0,0.74,68.72,13.72
2021-02-13,15.87,4.54,0,0.7,65.18,13.89
2021-02-14,7.11,7.4,0.04,0.7,59.4,6.79
2021-02-15,12.9,1.14,0.82,3.44,65.32,10.9
2021-02-16,7.75,-4.9,1.12,2.64,56.74,7.08
2021-02-17,16.43,-8,0,4.4,44.2,16.6
2021-02-18,19.89,-5.74,0,2.24,46.58,15.91
2021-02-19,15.44,0.22,0,1.9,71.32,15.35
2021-02-20,16.69,7.08,0,1.32,62.86,13.95
2021-02-21,16.89,9.52,0,1.92,67.18,14.56
2021-02-22,13.94,6.84,0,2.22,61.18,12.09
2021-02-23,19.52,0.42,0,2.24,33.94,16.2
2021-02-24,17.63,1.42,0,1.04,42.06,14.55
2021-02-25,5.68,2,0,0.64,52.86,5.24
2021-02-26,19.38,6.22,0,1.62,45.24,16.7
2021-02-27,19.64,7.48,0.02,2.24,55.18,16.94
2021-02-28,9.12,6.02,0,1,59.1,6.98
2021-03-01,1.07,3.7,69.9,1.94,96.32,0.96
2021-03-02,10.93,1.48,0.2,1.24,79.46,11.07
2021-03-03,17.71,2.4,0,1,74.94,14.94
2021-03-04,10.23,5.18,0,0.82,75.08,9.85
2021-03-05,20.7,7.28,0,1.2,77.04,17.89
2021-03-06,11.58,5.46,0,1.98,72.15,11.2
2021-03-07,16.64,5.3,0,1.58,66.96,14.88
2021-03-08,20.43,5.1,0,1.04,67.52,17.76
2021-03-09,17.56,5.36,0,1.34,64.66,15.24
2021-03-10,20.43,6.76,0,1,66.48,18.29
2021-03-11,17.95,8.44,0,0.94,60.32,16.33
2021-03-12,6.74,9.1,0.74,1.34,67.64,5.31
2021-03-13,16.3,8.42,0,1.44,70,14.3
2021-03-14,15.3,7.9,0,1.2,77.3,16.45
2021-03-15,13.73,9.34,0.54,1.52,73.52,13.86
2021-03-16,22.65,8.5,1.12,2.56,54.24,20.43
2021-03-17,21.93,7.44,0,1.22,56.96,19.65
2021-03-18,18.34,10.08,0,1.1,59.1,17.57
2021-03-19,19.1,13.96,0,1.8,52.68,17.89
2021-03-20,2.89,8.98,4.66,1.4,83,2.54
2021-03-21,14.29,6.02,0,3.46,68.12,14.87
2021-03-22,23.22,5.86,0,2.58,55.48,21.13
2021-03-23,21.54,8.12,0,2.14,66.16,20.04
2021-03-24,19.77,9.32,0,1.64,66.46,18.4
2021-03-25,21.16,10.98,0,1.42,71.08,20.42
2021-03-26,16.48,11.54,0,0.82,61.02,16.07
2021-03-27,4.43,10.72,20.9,1.24,79.1,3.81
2021-03-28,2.64,9.6,7.98,2.34,96.86,2.53
2021-03-29,19.01,10.26,0.2,2.56,63.3,18.2
2021-03-30,24.03,9.8,0,1.36,54.64,23.15
2021-03-31,22.85,12.38,0,0.84,52.34,22.04
2021-04-01,20.38,15.92,0,2.52,39.86,19.81
2021-04-02,14.63,17.04,0,1.98,41.54,12.59
2021-04-03,1.89,13.58,47.74,1.54,86.2,1.59
2021-04-04,15.7,11.24,0.72,2.16,66.76,13.13
2021-04-05,25.43,10.76,0,1.36,55.12,24.46
2021-04-06,22.82,12.76,0,1.72,56.56,22.72
2021-04-07,23.8,12.74,0,1.72,54.84,23.36
2021-04-08,25.12,11.76,0,1.96,46.24,23.89
2021-04-09,24.09,11.92,0,1.68,46.78,23.71
2021-04-10,23.02,11.38,0,1.58,56.54,22.79
2021-04-11,21.71,13.34,0,0.92,54.56,21.73
2021-04-12,5.61,12.74,23.14,1.44,77.78,4.98
2021-04-13,19.09,10.48,5.76,3.04,75.58,18.7
2021-04-14,26.57,8.04,0,2.16,60.48,25.92
2021-04-15,24.47,10.26,0,1.34,66.76,24.24
2021-04-16,7.99,10.38,0.28,1.88,70.16,6.72
2021-04-17,14.03,7.86,0.3,1.86,69.2,15.85
2021-04-18,24.9,9.7,0,2.14,66.08,24.57
2021-04-19,24.28,11.8,0,1.78,66.94,24.91
2021-04-20,22.86,13.58,0,1.24,62.76,23.49
2021-04-21,22.49,17.68,0,1.02,51.58,23.8
2021-04-22,13.61,20.14,0,1.54,44.6,14.99
2021-04-23,8.63,18.44,0,2.26,45.28,10.38
2021-04-24,13.76,16.86,0,1.56,49.32,13.33
2021-04-25,23.99,16.26,0,1.54,58.38,25.65
2021-04-26,20.58,15.1,0,1.74,56.14,21.17
2021-04-27,9.73,14.6,2.08,1.44,70.26,10.14
2021-04-28,16.96,14.2,1,1.68,70.16,17.28
2021-04-29,15.13,13.4,3.12,1.42,65.6,17.9
2021-04-30,9.32,10.94,16.38,1.7,86.94,8.16
2021-05-01,11.01,10.1,5.6,1.78,86.54,15.97
2021-05-02,24.29,12.12,1.04,1.86,72.16,26.13
2021-05-03,24.92,13.12,0,1.38,65.6,25.81
2021-05-04,4.35,13.14,22.98,0.92,90.54,4.46
2021-05-05,25.53,13.7,0.38,2.74,66.42,26.82
2021-05-06,21.62,14.3,0,1.64,57.12,22.52
2021-05-07,15.75,13.5,8.2,2.54,67.04,16.39
2021-05-08,21.23,13.92,0,2.78,70.06,21.42
2021-05-09,26.04,14.84,0,2.5,56.92,28.38
2021-05-10,5.52,11.42,5.12,1.08,85.56,4
2021-05-11,22.73,17.38,0,1.96,57.28,23.89
2021-05-12,22.28,19.36,0,1.32,52.56,24.47
2021-05-13,22.94,20.82,0,1.1,66.58,25.87
2021-05-14,20.68,22.08,0,0.9,71.64,21.93
2021-05-15,8.61,20.66,12.04,0.82,91.04,6.86
2021-05-16,2.39,17.5,58.86,1.42,99.76,1.76
2021-05-17,5.86,14.48,4.16,1.04,97.64,4.3
2021-05-18,20.64,16.92,0,1.14,81.52,22.31
2021-05-19,25.34,18.42,0,1.08,65.38,27.88
2021-05-20,6.08,17.2,4.42,1.64,75.64,5.79
2021-05-21,7.4,15.5,7.5,1.36,91.86,7.66
2021-05-22,24.05,18.3,0.02,1.56,76.08,27.23
2021-05-23,17.66,18.54,0,1,72.8,17.99
2021-05-24,21.64,18.6,0,1.72,65.02,23.71
2021-05-25,17.25,14.24,10.02,2.06,80.78,18.79
2021-05-26,17.85,16.34,1.18,1.72,71.18,18.54
2021-05-27,7.06,15.28,9.18,1.6,89.52,5.8
2021-05-28,9.45,14.6,20.84,1.86,89.9,10.27
2021-05-29,13.29,15.04,1.26,1.32,83.48,15.29
2021-05-30,23.51,17.3,10.72,1.26,80.56,27.07
2021-05-31,12.82,19.14,9.38,1.02,84.66,15.02
2021-06-01,13.98,19.62,1.62,1.28,83.52,17.92
2021-06-02,22.62,22.02,0,1.08,71.88,25.99
2021-06-03,4.84,18.3,13.92,0.96,91.42,4.56
2021-06-04,24.57,17.92,0.1,1.96,74.62,27.99
2021-06-05,19.05,19.3,0,1.94,76.14,21.93
2021-06-06,20.78,21.44,0,1.3,79.7,22.65
2021-06-07,9.68,20,0,0.86,82.76,10.65
2021-06-08,17.11,22.1,0.04,0.98,75.98,21.28
2021-06-09,21.17,24.1,0,0.78,70.62,23.52
2021-06-10,13.71,23.52,6.5,1.3,78.78,16.32
2021-06-11,12.03,21.18,9.96,2.14,89.32,15
2021-06-12,21.59,23.02,0,1.06,80.68,26.49
2021-06-13,22.41,23.78,0,1.14,78.98,25.71
2021-06-14,19.14,23.56,0,1.1,79.76,19.12
2021-06-15,8.02,21.82,4.36,1.32,85.74,8.76
2021-06-16,22.13,23.48,0,2.22,66.1,22.06
2021-06-17,9.1,20.82,0.14,1.34,79.84,8.8
2021-06-18,7.2,20.1,5.18,1.52,94.42,3.97
2021-06-19,22.92,21.68,0,1.14,79.1,27.06
2021-06-20,21.58,22.24,0,1.88,78.78,25.1
2021-06-21,21.85,22.92,0,1.42,73.28,27.53
2021-06-22,17.57,21.82,2.64,1.24,75.5,18.26
2021-06-23,17.28,21.3,0.9,1.54,79.76,17.45
2021-06-24,20.15,22.24,0,1.1,79.18,21.51
2021-06-25,21.13,23,0,1.22,77.24,25.37
2021-06-26,11.4,21.38,5.7,0.96,89.02,17.23
2021-06-27,19.65,23.42,0.5,1.16,79,22.27
2021-06-28,16.43,23.08,5.38,1.12,82.96,16.14
2021-06-29,17.39,23.08,4.94,1,85.48,16.66
2021-06-30,15.01,23.44,2.98,0.86,85.48,18.04
2021-07-01,20.53,25.06,0,1.02,78.86,22.6
2021-07-02,17.34,25.28,0.02,1.48,75.86,20.33
2021-07-03,7.41,22.02,43.28,2.28,85.16,7.96
2021-07-04,4.04,21.38,18.78,1.72,98.36,2.24
2021-07-05,12.55,22.6,0.02,0.82,87.72,14.66
2021-07-06,16.94,24.28,0.4,1,85.48,16.49
2021-07-07,13.18,25.22,9.9,0.92,88.84,11.73
2021-07-08,17.35,25.62,2.88,1.22,87.44,20.9
2021-07-09,15.74,24.7,2.1,1.18,86.58,21.73
2021-07-10,16.52,24.82,8.1,1.32,87.68,19.45
2021-07-11,8.09,24.42,4.54,1.18,94.76,10.72
2021-07-12,16.77,26.46,0,0.86,86.22,14.77
2021-07-13,15.66,27.54,0,1.02,84.32,16.15
2021-07-14,18.02,28.24,0,1.26,81.68,20.24
2021-07-15,19.44,27.24,3.54,1.16,83.28,22.72
2021-07-16,21.21,26.52,8.54,1.18,82.44,24.72
2021-07-17,19.35,26.6,2.56,1.36,79.82,23.01
2021-07-18,21.01,27.5,4.6,1.26,75.92,22.3
2021-07-19,14.84,25.9,2.9,0.92,86.68,15.92
2021-07-20,16.97,27.06,0,0.74,82.96,17.83
2021-07-21,22.2,28.78,0,0.98,75.5,27.46
2021-07-22,22.84,28.82,0,1.24,72.8,26.41
2021-07-23,22.6,28.74,0,1.08,73.16,25.67
2021-07-24,22.22,29.18,0,1.06,72.22,26.35
2021-07-25,22.46,29.36,0,1.3,70.12,26.55
2021-07-26,22.63,29.1,0,1.4,69.28,27.44
2021-07-27,21.59,29.2,2.28,1.14,73.6,20.67
2021-07-28,20.95,28.7,1.5,1.08,77.5,19.67
2021-07-29,17.33,28.16,0,1.04,79.82,17.24
2021-07-30,19.62,28.74,0,1.16,73.76,22.64
2021-07-31,18.54,28.58,2.1,1.3,78.9,22.13
2021-08-01,8.75,26.46,14.88,0.88,88.94,6.91
2021-08-02,8.8,25.62,3.46,0.88,91.92,8.49
2021-08-03,15.01,26.78,0,0.96,86.38,14.05
2021-08-04,17.74,27.78,0.02,1.24,79.9,21.47
2021-08-05,19.42,28,0,0.98,77.66,21.54
2021-08-06,16.77,26.66,0.32,1.2,80.96,21.34
2021-08-07,19.64,26.38,0,1.02,79.2,22.46
2021-08-08,11.66,25.22,9.96,1.1,85.94,12.23
2021-08-09,21.2,27.08,0,1.66,69.12,18.95
2021-08-10,17.79,25.2,5.92,1.5,77.38,22.29
2021-08-11,17.91,25.8,0.3,0.86,79.96,16.75
2021-08-12,14.48,25.9,0,0.92,79.76,14.18
2021-08-13,11.85,25.52,0,1.02,80.96,11.15
2021-08-14,14.42,24.84,0,1.74,71.52,14.47
2021-08-15,21.17,25.16,0,1.32,69.78,21.5
2021-08-16,19.95,25.48,0.36,1.58,69.78,21.54
2021-08-17,18.14,24.76,2.08,1.68,70.26,19.17
2021-08-18,15,23.18,9,1.36,77.08,14.22
2021-08-19,18.46,24.36,0.02,1.46,67.58,20.56
2021-08-20,15.96,24.96,1.44,1.26,75.94,17.82
2021-08-21,6.29,23.22,41.5,1.98,91.28,6.88
2021-08-22,12.4,23.8,0.12,1.46,85.74,11.26
2021-08-23,3.57,21.46,10.98,1.1,96.12,3.17
2021-08-24,5.58,23.24,13.3,1.74,96.52,4.53
2021-08-25,7.56,23.6,6.46,1.1,95.7,7.44
2021-08-26,9.44,24.42,0.46,1.4,91.56,8.96
2021-08-27,3.44,21.64,1.76,0.7,94.44,3.4
2021-08-28,14.27,22.7,0,1.14,87.38,15.06
2021-08-29,11.43,22.28,3.86,0.76,89.9,12.06
2021-08-30,10.88,22.78,0,0.64,89.54,10.18
2021-08-31,3.17,20.04,42.62,1.08,98.22,2.69
2021-09-01,5.87,20.68,35.28,1.34,91.84,5.36
2021-09-02,13.97,22.44,0,1.14,79.56,11.27
2021-09-03,20.58,23.18,0,1.32,71.08,18.75
2021-09-04,19.58,21.5,0,1.4,69.38,19.77
2021-09-05,13.84,21.4,0,1.62,71.5,12.81
2021-09-06,10.57,21.14,8.8,1.84,76.06,8.89
2021-09-07,2.44,19.26,24.26,1.5,99.5,2.29
2021-09-08,18.33,21.8,1.02,1.16,84.82,19.04
2021-09-09,16.46,21.2,0,0.72,86.98,18.82
2021-09-10,16.32,22.04,0,0.88,85.98,16.29
2021-09-11,18.3,22.4,0,0.88,83.92,20.7
2021-09-12,20.22,22.26,0,0.9,80.14,21.31
2021-09-13,18.02,23.06,0,1.46,78.12,17.86
2021-09-14,17.84,22.68,0,1.5,74.1,16.78
2021-09-15,20.16,21.74,0,2.12,67.54,20.45
2021-09-16,19.26,21.24,0,1.52,72.58,19.07
2021-09-17,14.96,21.8,0.22,1.72,72.54,14.57
2021-09-18,19.94,21.96,0,0.92,76.8,18.62
2021-09-19,13.86,21.56,0,0.92,80.06,15.12
2021-09-20,19.2,22.48,0,1.84,71.16,17.62
2021-09-21,10.4,21.44,45.06,1.84,89.48,10.69
2021-09-22,15.59,19.84,15.3,2.06,82.38,4.02
2021-09-23,16.48,19.48,0,1.3,76.36,14.43
2021-09-24,18,20.24,0,1.08,78.18,18.9
2021-09-25,6.92,19.7,0,1.08,85,7.57
2021-09-26,17.13,21.02,0,1.26,75.42,16.29
2021-09-27,11.01,19.88,0.02,1.26,79.52,11.68
2021-09-28,8.31,20.28,2.04,1.3,85.24,7.9
2021-09-29,2.76,19.78,13.84,1.08,97.7,3.58
2021-09-30,16.36,19.42,0,0.78,88.02,18.02
2021-10-01,17.44,19.66,3.2,1.18,83.76,16.62
2021-10-02,17.43,19.36,1.3,0.86,84.9,15.5
2021-10-03,16.64,20.38,0,0.98,82.72,16.57
2021-10-04,4.29,21.68,15.86,1.8,87.1,5.17
2021-10-05,10.25,23.02,0.72,2.1,83.88,14.17
2021-10-06,4.58,18.52,4.26,1.5,93.78,5.09
2021-10-07,4.78,18.74,3.5,0.84,94.16,5.35
2021-10-08,3.97,18.66,1.7,0.64,96.82,4.08
2021-10-09,9.72,20.66,0.1,0.98,88.74,12.43
2021-10-10,4.2,19.66,12.98,1.2,93.36,4.55
2021-10-11,10.81,15.42,0.9,1.1,80.7,11.01
2021-10-12,7.15,16.84,0,1.54,76.24,3.69
2021-10-13,17.16,18,0,1.16,78.02,15.76
2021-10-14,14.58,18.5,0,1,81.54,14.02
2021-10-15,7.53,17.78,1.18,0.78,86.16,6.4
2021-10-16,9.01,10.78,0.54,2.42,51.68,7.52
2021-10-17,20.46,5.12,0,1.62,47.86,17.79
2021-10-18,12.87,7.44,1.2,0.88,72.78,14.59
2021-10-19,12.14,9.88,4.38,1.22,80.72,12.52
2021-10-20,17.69,7.58,0,0.84,76.48,15.75
2021-10-21,14.36,7.56,0,0.72,77.68,12.91
2021-10-22,16.91,8.78,0,0.96,74.12,15.34
2021-10-23,17.44,8.92,0,0.8,73.94,15.11
2021-10-24,17.08,8.86,0,0.7,77.22,14.59
2021-10-25,16.75,9.26,0,0.7,79.24,14.5
2021-10-26,13.24,10.36,0,0.68,83.84,12.41
2021-10-27,16.26,11.74,0.1,1.18,70.8,14.32
2021-10-28,17.47,9.92,0,0.68,70.76,14.96
2021-10-29,15.52,11.9,0,1.06,69.16,14.39
2021-10-30,8.28,11.8,0,0.68,76.42,8.77
2021-10-31,12.83,12.26,1.24,0.7,82.64,11.06
2021-11-01,10.21,11.1,0,0.82,84.62,11.79
2021-11-02,12.04,9.5,0,0.76,84.5,11.6
2021-11-03,13.54,10.1,0.16,0.76,78.46,12.18
2021-11-04,8.84,10.2,0.08,0.56,87.18,7.84
2021-11-05,12.52,10.38,0,0.56,79.98,11.94
2021-11-06,13.68,11.72,0,0.6,72.9,12.45
2021-11-07,13.21,13.58,0,1.28,66.3,11.54
2021-11-08,2.74,8.44,25.04,2.44,82.32,2.75
2021-11-09,3.46,4.8,6.6,1.34,85.8,3.79
2021-11-10,6.82,4.08,0.04,1.74,75.8,8.68
2021-11-11,11.12,4.92,0.24,1.94,64.2,8.43
2021-11-12,14.79,3.9,0,1.68,61.7,11.61
2021-11-13,12.99,5.42,0,0.7,75.64,9.85
2021-11-14,11.21,9.5,0.04,1.02,75.86,9.24
2021-11-15,11.62,7.22,0,0.64,79.34,10.34
2021-11-16,13.79,6.38,0,0.86,74.14,11.16
2021-11-17,13.2,5.4,0,0.8,72.42,11.05
2021-11-18,6.48,10.46,0,1.34,76,7.58
2021-11-19,6.72,11.96,0,1.12,86.74,6.4
2021-11-20,8.21,8.72,0,0.64,85.74,7.32
2021-11-21,3.81,9.04,3.22,0.8,83.86,3.8
2021-11-22,9.03,3.02,1.86,3.2,62.52,8.99
2021-11-23,8.63,-0.34,0.02,2.26,61.94,5.93
2021-11-24,7.31,2.32,0.22,1.12,76.96,4.57
2021-11-25,12.44,4.3,0.2,1.42,65.08,10.05
2021-11-26,10.7,1.96,0,1.14,64.72,10.14
2021-11-27,14.01,0.9,0,0.7,68.2,11.33
2021-11-28,12.93,2.32,0,0.58,66.76,11.07
2021-11-29,10.07,5.06,0,0.7,72.64,7.74
2021-11-30,0.76,4.78,27.04,2.76,84.38,0.6
2021-12-01,13.98,-1.1,0,3.58,51.76,11.46
2021-12-02,9.11,-1.11E-17,0.2,1.44,74.4,9.2
2021-12-03,13.96,1.76,0.8,2.2,55.56,10.98
2021-12-04,11.95,0.52,0,1.22,56.78,8.41
2021-12-05,13.28,0.86,0,0.62,65.02,10.53
2021-12-06,11.25,2.92,0,0.56,71.3,9.43
2021-12-07,11.03,4.54,0,0.9,77.44,8.78
2021-12-08,12.5,3.9,0,0.6,80.9,10.13
2021-12-09,5.21,3.88,0,0.66,81.3,4.54
2021-12-10,2.03,5.2,0.86,0.64,90.64,1.61
2021-12-11,5.53,4.5,0,0.58,92.34,6.02
2021-12-12,11.34,0.66,0,2.18,64.36,9.6
2021-12-13,13.7,-2.66,0,1.34,46.92,10.81
2021-12-14,6.93,2.3,1.18,0.94,68.9,6.1
2021-12-15,4.39,5.24,2.34,0.8,94.18,4.17
2021-12-16,6.47,3.82,0,0.78,88.42,7.02
2021-12-17,12.39,-4.94,0,3.88,48.42,10.13
2021-12-18,8.48,-6.36,1.02,1.32,67.48,7.13
2021-12-19,8.9,-1.88,0.86,1.06,70.46,10.22
2021-12-20,8.3,3.16,0.02,0.92,80.6,7.41
2021-12-21,8.31,3.76,0,1.06,71.7,6.06
2021-12-22,12.17,0.48,0,0.82,59.26,9.68
2021-12-23,9.82,0.18,0,0.52,68.96,8.64
2021-12-24,2.35,-0.96,0.08,1.6,73.64,1.82
2021-12-25,13.86,-10.9,0,2.92,42.58,11.09
2021-12-26,13.87,-11.74,0,1.96,43.72,11.07
2021-12-27,6.58,-8.72,0.08,0.9,67.68,5.86
2021-12-28,4.18,-4.82,0,0.66,78.7,3.92
2021-12-29,5.52,-0.72,0.52,1.54,76.68,3.66
2021-12-30,10.11,-3.58,0,2.42,49.44,7.67
2021-12-31,13.95,-6.62,0,2.28,35.6,11.08
2022-01-01,12.52,-6.34,0,0.72,54.68,10.08
2022-01-02,9.85,-2.38,0.28,1.24,64.2,9.32
2022-01-03,10.72,-3.62,0,0.88,65.98,9.33
2022-01-04,13.28,-2.84,0.02,1.38,54.04,10.77
2022-01-05,6.85,-4.2,0,0.72,58.3,5.76
2022-01-06,13.14,-3.18,0,1,56.8,10.61
2022-01-07,12.94,-4.02,0,0.68,60.14,10.63
2022-01-08,5.24,-2.12,0,0.68,70.86,5.62
2022-01-09,9.13,-0.22,0,0.7,77.28,7.41
2022-01-10,7.36,-1.26,0.56,0.8,77.22,6.61
2022-01-11,10.46,-6.86,0.52,2.82,56.44,11.55
2022-01-12,13.9,-8.2,0,1.3,54.56,11.48
2022-01-13,14,-6.82,0,2.46,49.94,11.6
2022-01-14,14.67,-6.44,0,0.92,49.66,11.92
2022-01-15,5.01,-2.42,0,0.68,57.82,5.09
2022-01-16,14.15,-2.32,0,2.2,54.04,12.14
2022-01-17,9.61,-6.24,0.34,1.6,60.42,7.97
2022-01-18,13.76,-6.42,0,1.1,53.86,12.09
2022-01-19,2.31,-6.82,1.64,1.1,78.52,2.84
2022-01-20,10.86,-6.78,0,0.9,69.5,12.1
2022-01-21,14.63,-5.4,0,0.72,65.7,13.11
2022-01-22,8.74,-1.64,0,0.66,62.34,7.5
2022-01-23,11.06,1.34,0,1,60.7,9.97
2022-01-24,10.76,3.1,0,1.6,61.38,11
2022-01-25,1.78,2.08,0.7,1.04,86.26,1.72
2022-01-26,13.43,0.58,0,1.26,67.56,11.5
2022-01-27,13.92,-1.38,0,1.22,57.28,10.84
2022-01-28,16.05,-3,0,1.54,54.18,12.89
2022-01-29,16.52,-3.94,0,1.54,50.52,13.41
2022-01-30,16.46,-4.28,0,1.12,54.56,13.72
2022-01-31,14.5,-2.48,1.32,1.14,65.04,12.17
2022-02-01,2.73,-1.76,1.24,1.64,78.86,8.14
2022-02-02,14.96,-3.7,0,1.46,61.3,14.02
2022-02-03,17.19,-4.24,0,1.46,56.32,14.55
2022-02-04,16.55,-5.7,0,2.3,55.1,12.74
2022-02-05,16.74,-6.76,0,2.3,51.18,12.94
2022-02-06,17.61,-4.88,0,1.8,53.94,14.66
2022-02-07,11,-3.46,0,1.06,52.94,9.51
2022-02-08,16.28,-1.64,0,0.98,56.64,13.44
2022-02-09,14.86,-1.06,0,0.7,57.36,12.87
2022-02-10,16.48,0.3,0,1.14,59.9,13.98
2022-02-11,14.62,0.86,0,0.86,64.64,12.19
2022-02-12,16.31,2.64,0,0.88,57.14,14.24
2022-02-13,9.66,2.98,0,0.94,54.56,9.89
2022-02-14,7.96,1.16,1.3,1.9,73.86,8.63
2022-02-15,12.44,-4.4,0,3.06,58.02,8.41
2022-02-16,18.05,-7.2,0,2.82,49.38,14.58
2022-02-17,19.8,-6.76,0,1.54,44.84,16.45
2022-02-18,18.03,-2.94,0,0.98,46.96,15.54
2022-02-19,10.67,-1.52,0,2.02,52.32,10.45
2022-02-20,20.71,-4.68,0,2.76,40.3,17.25
2022-02-21,13.76,-3.6,0.12,2.3,55.28,12.66
2022-02-22,18.5,-4.52,0,2.44,42.78,16.9
2022-02-23,21.05,-5.74,0,1.84,39.62,17.83
2022-02-24,20.43,-3.52,0,1.46,53.54,17.73
2022-02-25,14.08,1.46,0,1.44,74.52,11.96
2022-02-26,7.28,5.02,2.48,3.2,77.66,8.32
2022-02-27,20.73,3.36,0,2.32,60.04,17.94
2022-02-28,12.52,4.48,0,0.9,66.72,11.81
2022-03-01,6.76,3.86,2.52,1.36,80.18,6.85
2022-03-02,21.35,2.3,0,1.78,63.2,18.82
2022-03-03,20.18,4.58,0,1.34,58.58,17.61
2022-03-04,12.86,5.82,0,2.86,64.14,11.85
2022-03-05,21.97,2.7,0,3.86,35.7,19.51
2022-03-06,22.32,1.6,0,2.12,37.14,19.95
2022-03-07,16.72,1.68,0,0.98,52.04,15.84
2022-03-08,17.48,4.4,0,1.12,62.9,17.01
2022-03-09,18.47,5.22,0,0.96,72.4,17.7
2022-03-10,16.48,7.24,0,1.18,57.3,15.66
2022-03-11,13.72,8.88,0,0.94,67.12,11.72
2022-03-12,11.84,11.56,5,1.66,77.375,11.66
2022-03-13,2.17,11.46,24.16,1.04,97.2,1.84
2022-03-14,2.51,7.88,7.12,2.2,90.66,2.21
2022-03-15,17.79,6.34,0,1.3,78.62,16.73
2022-03-16,18.5,8.9,0,1,69.04,17.02
2022-03-17,9.95,10.28,0.18,1.98,62.96,7.54
2022-03-18,5.84,7.1,0.46,2.26,63.56,5.06
2022-03-19,3.01,2.72,15.1,1.32,90.38,2.6
2022-03-20,13.98,4.02,0.08,1.56,74.5,16.73
2022-03-21,16.5,4.08,0,1.2,58.2,14.4
2022-03-22,22.69,6.48,0,1.34,53.38,20.68
2022-03-23,7.63,5.36,0,1.42,60.88,7.66
2022-03-24,6.68,7.26,0,1.26,72.36,8.49
2022-03-25,10.16,11.04,9.74,1.48,74.2,10.71
2022-03-26,7.27,11.4,26.92,2.1,85.22,7.73
2022-03-27,21.49,7.24,0,2.28,56.16,20.98
2022-03-28,24.66,6.42,0,1.02,45.1,23.36
2022-03-29,23.38,8.26,0,1.32,60.62,22.23
2022-03-30,7.51,9.22,0.5,0.92,82.7,6.27
2022-03-31,13.69,10.24,0.66,1.7,75.02,15.56
2022-04-01,23.29,8.04,0,1.56,59.62,21.02
2022-04-02,24.25,7,0,1.52,55.26,23.16
2022-04-03,23.97,8.46,0,1.32,57.8,23.02
2022-04-04,23.98,9.08,0,1.54,54.66,24.07
2022-04-05,21.43,9.34,0,1.48,48.64,20.95
2022-04-06,21.18,11.32,0,1.5,49.42,21.03
2022-04-07,23.62,10.76,0,2.3,46.66,22.79
2022-04-08,23.94,11.68,0,1.36,52.86,23.91
