년-월-일,평균기온,강수량,풍속,상대습도,일사량
2080-12-02,15.7,0.4,1.2,79.8,4.05
2080-12-03,12.7,0.2,1.9,73.7,2.52
2080-12-04,9.3,0,0.9,50.7,9.27
2080-12-05,8.8,3.4,2.3,64.9,3.24
2080-12-06,2,0.1,2.7,48.3,6.93
2080-12-07,-0.6,0,3.2,43.8,7.92
2080-12-08,-0.1,0,0.9,47.8,9.54
2080-12-09,5.4,0,0.7,64.9,4.14
2080-12-10,9.8,0.2,0.8,69.9,2.79
2080-12-11,11.4,0,0.8,64.4,6.03
2080-12-12,11.8,1,0.7,68.3,7.65
2080-12-13,6.9,3.3,3.7,67.2,4.41
2080-12-14,-5.6,0.2,5.6,49.1,6.3
2080-12-15,-5.2,0,2.8,51.8,7.56
2080-12-16,-2.5,0,0.7,56.6,8.91
2080-12-17,3.1,0,1.1,67.1,6.3
2080-12-18,8.7,3.4,0.9,79.2,4.23
2080-12-19,5.2,0.2,2.8,58.2,6.03
2080-12-20,3.6,1,1,53,7.56
2080-12-21,2.6,0.1,1.2,56.8,5.4
2080-12-22,4.1,0,0.9,60.1,6.3
2080-12-23,7,0,1,76.8,4.05
2080-12-24,9.3,0.2,0.7,86.1,3.24
2080-12-25,11,2.3,1,79.5,3.78
2080-12-26,10.2,0.4,1.1,80.8,3.15
2080-12-27,10,4.4,3.3,70.3,4.14
2080-12-28,7.7,7.4,4.9,73,1.62
2080-12-29,4.5,0,2.6,76.3,4.95
2080-12-30,4.9,0,0.6,68.6,5.94
2080-12-31,4.3,0,0.8,72.9,6.39
2081-01-01,6.6,0,0.4,76.1,5.31
2081-01-02,7.4,0.1,0.5,80,5.49
2081-01-03,9.6,18.2,1.8,78.6,4.41
2081-01-04,-0.8,0,6.5,56.6,6.39
2081-01-05,-2.6,0.4,2.1,56.2,9.63
2081-01-06,0,0,0.7,63,8.73
2081-01-07,3.1,0,0.6,73,7.56
2081-01-08,6.6,0,0.7,75.9,5.04
2081-01-09,9,0,0.7,77.2,7.47
2081-01-10,9.4,0,0.1,75.6,4.86
2081-01-11,9.3,0,0.1,77.7,6.03
2081-01-12,8,0,0.9,76.1,5.31
2081-01-13,8.1,0.3,1.2,73.6,6.3
2081-01-14,11,0.7,1.3,72,4.59
2081-01-15,4.9,0.1,3.6,61,3.6
2081-01-16,1.3,0,1.6,53.4,8.1
2081-01-17,5.2,0,0.1,64,7.11
2081-01-18,7.4,0,0.1,75.9,4.59
2081-01-19,7.4,0,0.7,68.2,7.38
2081-01-20,5.6,0,0.4,61.9,7.2
2081-01-21,4.8,0,0.2,63.7,6.84
2081-01-22,6.8,0,0.5,69.3,5.31
2081-01-23,2.5,0.3,3.5,49,5.58
2081-01-24,-4,0,5.1,47.1,9.63
2081-01-25,-6.9,0,4.3,49.7,7.56
2081-01-26,-3.6,0,2.3,50.9,9.9
2081-01-27,0,0,0.4,51.9,11.79
2081-01-28,4.7,0,0.1,55.7,9
2081-01-29,10.3,3.3,0.4,61,2.61
2081-01-30,13.4,25.8,1.7,86.8,0.99
2081-01-31,11.8,5,0.9,87,1.44
2081-02-01,11.3,2.5,1.2,85,3.87
2081-02-02,9.2,0,1.5,70.6,4.59
2081-02-03,5.6,0.2,1.7,59.4,5.31
2081-02-04,5.1,2.2,1.3,55.2,9.45
2081-02-05,7.2,3.4,1.7,69.1,3.51
2081-02-06,7,5.4,3.2,73.6,4.68
2081-02-07,1.3,0.9,3.4,58.8,5.67
2081-02-08,-3.2,0,3.8,43,9.27
2081-02-09,-3.6,0,3.3,51.6,9.9
2081-02-10,-1.6,0,2.1,52.3,10.08
2081-02-11,0,0,1.3,45.1,10.26
2081-02-12,2.7,4,0.8,56.7,7.83
2081-02-13,7.4,12.7,0.9,67.1,3.15
2081-02-14,8.5,4.8,2.3,77.4,2.34
2081-02-15,8.6,2.8,2.6,62.7,5.49
2081-02-16,7.9,3.1,2,78.8,0.18
2081-02-17,4.5,0.1,3.2,62.1,6.66
2081-02-18,-0.6,0,4.2,44.6,9.63
2081-02-19,-2.2,0,2.5,51.1,7.83
2081-02-20,-1.6,0,2.7,43.1,10.98
2081-02-21,-0.7,0,2.3,44.7,13.05
2081-02-22,1.8,0,1.8,55.3,10.89
2081-02-23,1.7,0,2.1,51.9,12.6
2081-02-24,2.6,0,1.3,49.7,14.94
2081-02-25,5.5,0,0.5,56,13.05
2081-02-26,7.3,1.8,0.7,58.9,11.16
2081-02-27,8,2.7,2.1,72.5,4.32
2081-02-28,8.8,0,1.6,65,6.12
2081-03-01,6.5,0.2,0.9,54.2,9.72
2081-03-02,7.5,0,0.5,56.6,15.57
2081-03-03,11,0,0.4,58.3,13.77
2081-03-04,13.5,0,0.5,63,12.87
2081-03-05,14.5,16.1,1.9,76.7,7.2
2081-03-06,8.2,9.7,7.2,72.1,8.1
2081-03-07,4.6,0.2,3.8,68.1,12.24
2081-03-08,8,0,2.1,62.2,15.3
2081-03-09,11.3,0,1.6,64.4,14.22
2081-03-10,12.2,4.4,2.2,72.8,10.8
2081-03-11,7.2,0.4,3.5,62.4,8.28
2081-03-12,4.6,0,4.2,51,8.37
2081-03-13,4,0,2.2,45.9,16.92
2081-03-14,7.6,0,1.1,52.6,17.28
2081-03-15,10,2.7,4.5,69.4,4.95
2081-03-16,10.6,1.2,2.6,74.1,4.68
2081-03-17,8,1.4,4,67.5,5.04
2081-03-18,5.8,0,4.9,55.5,10.89
2081-03-19,6.9,0,1.3,47.9,13.95
2081-03-20,11.1,3.3,0.7,54.7,10.35
2081-03-21,12.1,2.6,1.9,65.1,6.48
2081-03-22,10.7,1.5,2.4,55.6,13.59
2081-03-23,7.3,0,2.5,46.9,17.19
2081-03-24,7.5,0.1,2.2,45.5,16.65
2081-03-25,6.1,0,2.6,43.8,10.53
2081-03-26,4,0,3.4,40.4,16.92
2081-03-27,4.5,0,3.2,38.8,20.79
2081-03-28,4.5,0,2.2,44.3,18.9
2081-03-29,7.5,0,0.6,51.2,17.19
2081-03-30,11,0.6,0.4,66,11.07
2081-03-31,13,0.5,0.3,69,9.63
2081-04-01,14.4,0,0.8,69.5,15.21
2081-04-02,14.3,0,0.9,68.4,18.18
2081-04-03,15.1,0,0.7,55.4,12.96
2081-04-04,13.8,0,2.7,38.2,16.47
2081-04-05,11.4,0,1.9,32.6,13.05
2081-04-06,13.3,1.5,0.9,44.3,9.9
2081-04-07,11.6,13.6,2.6,82.1,1.8
2081-04-08,11.1,0.1,1.8,65.4,10.26
2081-04-09,13.2,0.5,1.6,64.8,12.96
2081-04-10,13.4,0.5,3.9,58,16.56
2081-04-11,11.4,0,2.9,41.5,20.97
2081-04-12,12.9,0,0.6,38.1,21.15
2081-04-13,14.8,0,0.6,44.4,19.89
2081-04-14,15.5,0.6,2.7,51.5,10.26
2081-04-15,13.1,0,2.6,49.1,21.87
2081-04-16,16.6,0,1.7,58.2,14.58
2081-04-17,18.2,0,1.2,54.9,16.92
2081-04-18,19.2,0,1.1,42.8,16.92
2081-04-19,20,0,2.2,43.9,23.76
2081-04-20,22,4,3.4,57.3,18.9
2081-04-21,19.1,10.9,1.6,82.6,8.28
2081-04-22,19.1,0,0.8,71.6,11.61
2081-04-23,20.6,6,0.6,62.1,10.53
2081-04-24,19.6,0.1,0.8,66.8,11.61
2081-04-25,20.9,0.7,0.7,62.8,17.28
2081-04-26,20.8,0.3,1.3,63.4,14.49
2081-04-27,20.1,1.1,1.8,56.2,16.47
2081-04-28,21.9,0.3,1.5,50.4,18.81
2081-04-29,23.2,4,2.2,69.5,13.5
2081-04-30,19.6,0.9,1.7,64.5,8.1
2081-05-01,20.8,0,1.9,54.9,18.63
2081-05-02,19.6,3.4,1.4,70.6,7.2
2081-05-03,18.3,1.5,0.8,77.7,12.42
2081-05-04,19.8,0,1.2,58.3,27.9
2081-05-05,21.4,0,1.5,50.3,24.75
2081-05-06,21.6,5.2,2.8,60.4,11.97
2081-05-07,19.2,7.5,1.7,66.7,11.97
2081-05-08,21.1,0,0.8,42.9,20.7
2081-05-09,22.2,0,0.3,51.1,19.8
2081-05-10,23.7,0,0.3,51.6,21.96
2081-05-11,25.4,0,0.1,47.1,23.31
2081-05-12,24.3,0,0.5,61,14.67
2081-05-13,24.8,0,0.6,57.3,18.18
2081-05-14,26.5,0,1,54.3,19.71
2081-05-15,25.8,0,1.2,68.3,15.75
2081-05-16,26.6,22.7,2.7,72.3,18.63
2081-05-17,23.6,36.9,3.9,88.7,4.68
2081-05-18,17.5,1.9,4.5,72.1,11.52
2081-05-19,19.7,0,1.3,58.9,23.85
2081-05-20,21.8,0,0.6,57.3,26.01
2081-05-21,23.5,0,1.2,47.8,27.27
2081-05-22,24.8,0,1,53.5,19.26
2081-05-23,25.6,7.7,2.6,65.4,19.89
2081-05-24,21.8,0.2,0.7,73,19.53
2081-05-25,24,0.1,0.6,61.4,21.33
2081-05-26,24.4,0.5,1.6,66.2,21.06
2081-05-27,21.8,4.3,2.6,75.8,10.26
2081-05-28,23.5,0,1.1,48.7,25.47
2081-05-29,25,0,0.7,53.3,23.49
2081-05-30,25.9,0,0.8,56.9,24.39
2081-05-31,25.6,6.6,1.9,58.6,19.71
2081-06-01,24.1,9.9,2.5,71.9,9.63
2081-06-02,23.7,0,3.5,54.4,20.7
2081-06-03,24.6,0,3.6,52.4,21.42
2081-06-04,25.5,0,2.8,52.4,21.15
2081-06-05,24.6,0,1.8,60.3,19.26
2081-06-06,24.8,0,2.2,61.7,18.09
2081-06-07,24.5,0,2.4,64.2,18.9
2081-06-08,24.1,0,1.6,61.5,21.96
2081-06-09,25.6,0,1,59.5,22.86
2081-06-10,27.5,0.1,0.8,57,20.52
2081-06-11,28.5,0,1.2,48.8,18.99
2081-06-12,28.5,0,1.8,52.1,25.29
2081-06-13,27.9,0,1.5,70.5,15.39
2081-06-14,29,0.5,2,68.2,13.5
2081-06-15,29.1,0.3,1.9,63.4,13.23
2081-06-16,27.4,2.2,1.9,67.7,9.99
2081-06-17,26.3,28.4,3.4,76.8,6.57
2081-06-18,28,0.5,2.9,73.2,9.54
2081-06-19,29.1,26.6,2.7,71.6,9
2081-06-20,27.6,8.6,2.7,71.3,9.99
2081-06-21,28.4,0.2,1.6,67.4,17.28
2081-06-22,28.6,0,1.3,68.1,15.66
2081-06-23,28.7,0.1,1.2,71.6,21.69
2081-06-24,28.1,2.9,0.8,71.3,16.2
2081-06-25,28.6,5.3,1.6,68.6,20.61
2081-06-26,27.1,24.6,2.2,77.4,11.88
2081-06-27,25,18.8,2,84.3,6.66
2081-06-28,26.5,0,2.1,70.1,14.85
2081-06-29,26.9,3,1.7,68.5,18.45
2081-06-30,28.6,0,0.8,69.2,17.64
2081-07-01,30.2,9.4,1.1,76.1,16.56
2081-07-02,30,21,1.5,89.4,11.97
2081-07-03,30.1,13.3,1,81.5,12.15
2081-07-04,31.1,0.7,0.8,70.3,20.34
2081-07-05,30.1,44.1,3.1,80.3,13.32
2081-07-06,28.2,15,2.3,86.1,13.95
2081-07-07,27.9,0.5,3.5,82.1,17.37
2081-07-08,29.3,0,3.3,67.1,19.71
2081-07-09,29.2,4.6,1.4,73.6,19.26
2081-07-10,29.5,2.4,1.7,71.4,15.03
2081-07-11,27.8,0.5,2.1,74.4,15.57
2081-07-12,27.5,33.9,3.3,77.3,11.52
2081-07-13,27,20.3,3,87.5,2.88
2081-07-14,28.9,14.1,3,85.4,9.27
2081-07-15,31,49.2,2.7,79,15.75
2081-07-16,29.4,55,1.1,92,8.19
2081-07-17,29.2,9.1,0.7,91.8,11.61
2081-07-18,31.8,3.2,0.6,80.7,21.15
2081-07-19,32.7,0,1,75.1,27.63
2081-07-20,34.3,0,0.7,72,22.05
2081-07-21,34.1,0,0.9,68.1,19.71
2081-07-22,32.9,9.6,1.5,69.3,18.54
2081-07-23,30.7,10.5,1.2,75.8,12.96
2081-07-24,30.9,6.7,0.6,78.7,13.05
2081-07-25,32,2.3,0.8,73.8,15.39
2081-07-26,32.4,0.8,1.4,68.9,18.9
2081-07-27,31.9,6.4,1.7,71.7,16.29
2081-07-28,32,3.9,1.5,70.7,20.7
2081-07-29,33.3,1.9,1.5,70.6,20.61
2081-07-30,33.2,33.5,1.2,81.3,11.52
2081-07-31,32.5,77.6,1,88.2,7.83
2081-08-01,32.8,18.2,1,90.2,10.44
2081-08-02,33.9,3.6,0.7,80.6,15.12
2081-08-03,33.7,10.2,0.8,79.2,14.58
2081-08-04,33.4,15.2,0.8,83.1,12.87
2081-08-05,34,1.3,0.7,80.9,16.83
2081-08-06,33.1,3.5,0.9,82.8,12.15
2081-08-07,33,15,2.3,83.6,14.85
2081-08-08,32.4,12.3,1.6,79.9,12.06
2081-08-09,33.5,0.7,0.8,74,13.5
2081-08-10,32.4,7.2,1.1,81.8,8.73
2081-08-11,31.7,15.9,2.4,75.9,12.78
2081-08-12,29.6,56.6,2.2,87.9,10.08
2081-08-13,29.4,77,2.1,91.9,6.75
2081-08-14,29.9,1.2,1.2,83.5,12.78
2081-08-15,30.1,5.7,1.3,80.4,12.6
2081-08-16,30.2,0,1,72.9,17.28
2081-08-17,31.9,0,0.4,67.8,19.8
2081-08-18,32.6,0,1,68.5,15.84
2081-08-19,31.1,0,1.8,70.5,8.1
2081-08-20,28.5,64.5,2.6,81.4,5.49
2081-08-21,28.2,38.7,2.4,88.2,4.41
2081-08-22,28.8,50.7,1.9,90.8,8.28
2081-08-23,27.6,46,2.4,89.5,3.96
2081-08-24,26.5,41.3,3,87.7,4.59
2081-08-25,27.4,0,2.1,78,15.84
2081-08-26,28.5,0,1.1,76.3,16.11
2081-08-27,28.9,0.3,1,76,14.22
2081-08-28,29.5,0,1,71.3,15.12
2081-08-29,29.9,0,0.6,71.2,14.76
2081-08-30,30.4,0,0.3,64.6,16.2
2081-08-31,31,0,0.4,62.7,17.64
2081-09-01,31.5,0,0.8,65.9,19.98
2081-09-02,31,0.5,0.8,69.2,17.37
2081-09-03,30.3,10.6,0.6,80.9,8.73
2081-09-04,29.2,13.8,0.6,82.6,12.96
2081-09-05,30.2,0.6,0.7,63.1,14.4
2081-09-06,30.1,0.1,0.6,64.4,12.15
2081-09-07,30.7,0,0.5,65.3,17.01
2081-09-08,30.7,0.1,0.6,68.8,14.22
2081-09-09,27.8,6.3,0.4,83.5,7.65
2081-09-10,29.5,0.4,0.8,76.2,14.49
2081-09-11,29.2,1,0.4,73,12.15
2081-09-12,28.7,0.3,0.3,70.9,12.87
2081-09-13,28.9,0.1,0.5,71.1,21.33
2081-09-14,28.5,0.1,0.6,75.4,13.68
2081-09-15,29.1,0.3,0.8,72.4,15.48
2081-09-16,29.3,1.1,1.3,70.1,12.96
2081-09-17,28.1,4,1.4,72.8,8.82
2081-09-18,28.4,0.7,2.1,69.5,17.46
2081-09-19,27.9,0,2.6,69,16.74
2081-09-20,27.3,0,2.1,73.4,14.58
2081-09-21,27.3,8.1,1.3,79.6,12.51
2081-09-22,24.6,0.4,2.2,68.2,10.89
2081-09-23,22.6,0,2.3,59.7,14.04
2081-09-24,22.6,0,1.6,63.6,14.13
2081-09-25,23.1,0,1.6,56.9,15.03
2081-09-26,23.8,0.1,1,54.7,14.31
2081-09-27,23.7,0.1,1,63.1,10.44
2081-09-28,23.1,0,1.7,64.6,9.09
2081-09-29,22.3,0,1.7,62.1,14.22
2081-09-30,21.5,0,2,64.7,12.51
2081-10-01,22.3,0.3,1.1,68.3,9.45
2081-10-02,23.3,1.1,1.1,66.8,8.91
2081-10-03,23.9,0,0.9,61.4,12.15
2081-10-04,22.3,0,1.3,63.8,15.12
2081-10-05,22.3,0,1.2,66.2,10.26
2081-10-06,23.5,0.1,0.8,64.4,13.5
2081-10-07,24.3,0.2,1.3,72.4,11.07
2081-10-08,23.9,0.6,1.9,78.4,11.88
2081-10-09,23.5,0.4,1.1,73.1,12.69
2081-10-10,24.3,0,0.9,73.3,10.71
2081-10-11,23.5,0,2,66.1,10.44
2081-10-12,21.5,2,1.1,63.1,12.24
2081-10-13,20.6,0,0.6,62.5,12.51
2081-10-14,20.6,0,0.5,67.6,13.77
2081-10-15,21.2,0,0.8,69.7,12.33
2081-10-16,20.9,0,1.3,68.4,9.9
2081-10-17,19.5,0,1.8,52.1,12.15
2081-10-18,21.6,0,0.4,58.4,11.16
2081-10-19,23.2,0,0.5,72.5,9.63
2081-10-20,21.6,22.2,3.4,87.7,3.06
2081-10-21,17.5,3.1,3.1,76.9,6.84
2081-10-22,16.3,0.3,1.8,62.4,11.52
2081-10-23,17.3,0,0.3,68.3,8.82
2081-10-24,19.6,0,0.5,70,9.54
2081-10-25,21,3.6,0.7,82,7.47
2081-10-26,19.5,0.6,0.2,78,6.3
2081-10-27,19.2,0.9,0.1,69.5,11.07
2081-10-28,18.8,0.8,2.9,71.1,5.85
2081-10-29,16.6,0,1.8,67.4,11.07
2081-10-30,16.7,0,0.2,66,13.95
2081-10-31,19.1,0,0.5,77.7,9.81
2081-11-01,20.4,0,1.1,76.4,9.99
2081-11-02,20.2,0,1.6,77.3,6.93
2081-11-03,20.4,0,0.3,71.1,9.27
2081-11-04,21.6,0.4,0.7,75.9,9.9
2081-11-05,21.6,10.1,1.6,86.7,6.3
2081-11-06,18.2,19.2,3.6,88.2,1.35
2081-11-07,8.8,0.2,5.2,64,4.59
2081-11-08,8.1,3.3,2.7,64.7,6.48
2081-11-09,7.6,0.6,3.1,59.4,5.85
2081-11-10,9.7,0.7,2.7,59.4,6.75
2081-11-11,10.9,3.2,2,69.1,4.59
2081-11-12,7.8,0.1,1.3,55.9,6.66
2081-11-13,8,0,0.4,58.8,7.02
2081-11-14,12.6,0,1.4,67.4,9.45
2081-11-15,10.3,0.2,2.6,62.1,9.72
2081-11-16,6.2,0,2.6,56,6.57
2081-11-17,4.9,0,2,58,7.29
2081-11-18,3.2,0,1,50.1,9.09
2081-11-19,6.6,0,0.2,59.9,10.35
2081-11-20,11.7,0,0.7,74.8,8.82
2081-11-21,13.5,0,0.1,78.9,5.22
2081-11-22,14.1,0,0.1,76.8,7.56
2081-11-23,16.6,1.5,0.3,82.4,5.49
2081-11-24,13.3,0.2,1.2,71.4,0.63
2081-11-25,11.6,0,0.3,71.8,6.93
2081-11-26,16.2,0.1,0.4,78.9,5.22
2081-11-27,14.5,1,0.4,88.5,1.8
2081-11-28,13.5,0,0.2,76,2.52
2081-11-29,11.3,0,1.7,68.8,5.58
2081-11-30,6.3,0,1.8,53.8,8.28
2081-12-01,4.5,0,1.1,47,8.55
