일시,태양광 이용률,일강수량(mm),평균 상대습도(%),합계전천일사량(MJ/m2)
2015-05-27,25.01,0,42.66,23.7
2015-05-28,22.98,0,40.5,21.51
2015-05-29,19.03,0,45.66,17.77
2015-05-30,9.67,0.7,70.74,7.74
2015-05-31,21.4,0,61.24,21.5
2015-06-01,20.51,0,54.18,19.93
2015-06-02,21.85,0,51.54,20.43
2015-06-03,25.54,0,37.26,23.61
2015-06-04,22.56,0,39.2,20.83
2015-06-05,7.78,1.48,66.64,6.64
2015-06-06,22.89,0,57.54,21.29
2015-06-07,21.4,0,51.96,21.07
2015-06-08,14.86,0,59.12,12.96
2015-06-09,20.39,0,65.76,19.26
2015-06-10,22.95,0,58.8,21.84
2015-06-11,11.76,5.7,62.84,9.82
2015-06-12,22.28,0.56,62.34,21.37
2015-06-13,15.91,1.06,65.52,14.59
2015-06-14,19.21,14.1,70.68,16.79
2015-06-15,19.79,0,67.64,17.56
2015-06-16,20.84,3.02,71.86,21.45
2015-06-17,17.07,4.48,72.88,13.46
2015-06-18,19.67,0,60.22,16.49
2015-06-19,19.47,0,59.22,18.7
2015-06-20,4.15,21.64,87.64,3.93
2015-06-21,22.53,0,69.9,22.36
2015-06-22,22.18,0,65.36,20.12
2015-06-23,22.39,0,64.76,21.5
2015-06-24,19.08,0.2,65.56,17.37
2015-06-25,11.62,1.52,73.46,8.74
2015-06-26,10.68,19.62,73.12,8.99
2015-06-27,22.71,0,60.3,19.87
2015-06-28,23.05,0,66.52,22.47
2015-06-29,22.21,0,64.56,21.57
2015-06-30,13.03,0.06,69.64,14.11
2015-07-01,21.59,0.04,66.36,22.17
2015-07-02,19.21,0,65.86,17.79
2015-07-03,19.87,0,64.12,20.9
2015-07-04,21.58,0,58.56,20.89
2015-07-05,20.49,5.14,63.44,21.11
2015-07-06,21.64,0,60.32,21.54
2015-07-07,13.12,0.04,64.12,11.71
2015-07-08,9.04,1.4,72.88,7.93
2015-07-09,13.84,0,66.1,12.91
2015-07-10,17.83,0,67.32,15.45
2015-07-11,18.13,0.08,65.98,17.56
2015-07-12,4.74,28.12,88.6,4.19
2015-07-13,4.72,13.84,87.42,5
2015-07-14,19.94,0,73.9,18.36
2015-07-15,19.45,0.62,68.28,18.39
2015-07-16,21.33,0,54.68,19.54
2015-07-17,20.45,0,51.98,18.54
2015-07-18,11.37,0.28,65.82,8.13
2015-07-19,12.67,6.38,80.78,10.51
2015-07-20,10.38,2.2,78.4,10.41
2015-07-21,10.89,2.14,83,7.76
2015-07-22,13.49,4.5,79.76,10.59
2015-07-23,9.63,18.48,83.36,7.6
2015-07-24,3.7,52.02,92.24,1.74
2015-07-25,2.71,68.12,91.8,2.72
2015-07-26,15.53,13.6,81.1,18.41
2015-07-27,10.21,0.62,84.08,8.29
2015-07-28,17.69,0.02,76.62,15.86
2015-07-29,4.9,24.9,88.3,5.23
2015-07-30,15.34,0,79.88,15.34
2015-07-31,15.8,0,78.72,15.49
2015-08-01,14.56,2.3,78.64,14
2015-08-02,8.65,12.24,86.22,8.57
2015-08-03,14.65,0.84,76.58,16.1
2015-08-04,15.6,0,75.56,14.28
2015-08-05,15.52,0.4,73.82,17.95
2015-08-06,19.27,0,71.9,19.4
2015-08-07,19.15,7.38,72.72,16.24
2015-08-08,13.28,14.8,84.34,13.6
2015-08-09,17.56,0,77.34,15.45
2015-08-10,16.08,0,77.7,12.67
2015-08-11,12.76,0.1,78.04,12.55
2015-08-12,19.91,0,71.42,18.62
2015-08-13,16.24,5.78,78.6,15.85
2015-08-14,18.75,0,73.6,17.67
2015-08-15,17.53,0,75.9,16.1
2015-08-16,9.84,16.66,80.88,7.01
2015-08-17,19.68,1.32,71.68,18.89
2015-08-18,20.17,0,67,18.39
2015-08-19,11.89,0,76.06,10.29
2015-08-20,9.27,0.96,81.5,8.92
2015-08-21,11.35,0.74,80.02,9.83
2015-08-22,13.32,0.12,77.72,10.49
2015-08-23,18.45,0,72.3,16.52
2015-08-24,12.68,0.28,68.06,10.27
2015-08-25,4.56,5.82,75,3.59
2015-08-26,14.12,0.18,69.92,13.75
2015-08-27,21.63,2.4,66.02,19.11
2015-08-28,15.69,0.8,77.16,11.83
2015-08-29,19.19,0,72.78,16.65
2015-08-30,19.99,0,71.62,18.48
2015-08-31,18.32,0.36,70.48,16.37
2015-09-01,15.52,0.02,67,14.86
2015-09-02,10.68,24.22,83.48,8.78
2015-09-03,15.82,0.14,79.84,11.81
2015-09-04,17.51,0,75.22,16.24
2015-09-05,6.03,2.6,84.22,6.67
2015-09-06,11.35,0,67.78,10.83
2015-09-07,21.87,0,62.92,18.87
2015-09-08,22.71,0,54.12,19.68
2015-09-09,22.9,0,52.52,19.37
2015-09-10,21.29,0,66.4,17.83
2015-09-11,8.86,3.1,80.58,6.73
2015-09-12,12.28,0.2,71.64,10.4
2015-09-13,22.38,0,61.64,18.42
2015-09-14,19.29,0,68.98,16.32
2015-09-15,20.77,0,59.96,17.43
2015-09-16,19.66,0,57.66,16.09
2015-09-17,21.42,0,54.86,17.79
