일시,태양광 이용률,평균기온(°C),일강수량(mm),합계전천일사량(MJ/m2)
2021-10-28,17.47,9.92,0,14.96
2021-10-29,15.52,11.9,0,14.39
2021-10-30,8.28,11.8,0,8.77
2021-10-31,12.83,12.26,1.24,11.06
2021-11-01,10.21,11.1,0,11.79
2021-11-02,12.04,9.5,0,11.6
2021-11-03,13.54,10.1,0.16,12.18
2021-11-04,8.84,10.2,0.08,7.84
2021-11-05,12.52,10.38,0,11.94
2021-11-06,13.68,11.72,0,12.45
2021-11-07,13.21,13.58,0,11.54
2021-11-08,2.74,8.44,25.04,2.75
2021-11-09,3.46,4.8,6.6,3.79
2021-11-10,6.82,4.08,0.04,8.68
2021-11-11,11.12,4.92,0.24,8.43
2021-11-12,14.79,3.9,0,11.61
2021-11-13,12.99,5.42,0,9.85
2021-11-14,11.21,9.5,0.04,9.24
2021-11-15,11.62,7.22,0,10.34
2021-11-16,13.79,6.38,0,11.16
2021-11-17,13.2,5.4,0,11.05
2021-11-18,6.48,10.46,0,7.58
2021-11-19,6.72,11.96,0,6.4
2021-11-20,8.21,8.72,0,7.32
2021-11-21,3.81,9.04,3.22,3.8
2021-11-22,9.03,3.02,1.86,8.99
2021-11-23,8.63,-0.34,0.02,5.93
2021-11-24,7.31,2.32,0.22,4.57
2021-11-25,12.44,4.3,0.2,10.05
2021-11-26,10.7,1.96,0,10.14
2021-11-27,14.01,0.9,0,11.33
2021-11-28,12.93,2.32,0,11.07
2021-11-29,10.07,5.06,0,7.74
2021-11-30,0.76,4.78,27.04,0.6
2021-12-01,13.98,-1.1,0,11.46
2021-12-02,9.11,-1.11E-17,0.2,9.2
2021-12-03,13.96,1.76,0.8,10.98
2021-12-04,11.95,0.52,0,8.41
2021-12-05,13.28,0.86,0,10.53
2021-12-06,11.25,2.92,0,9.43
2021-12-07,11.03,4.54,0,8.78
2021-12-08,12.5,3.9,0,10.13
2021-12-09,5.21,3.88,0,4.54
2021-12-10,2.03,5.2,0.86,1.61
2021-12-11,5.53,4.5,0,6.02
2021-12-12,11.34,0.66,0,9.6
2021-12-13,13.7,-2.66,0,10.81
2021-12-14,6.93,2.3,1.18,6.1
2021-12-15,4.39,5.24,2.34,4.17
2021-12-16,6.47,3.82,0,7.02
2021-12-17,12.39,-4.94,0,10.13
2021-12-18,8.48,-6.36,1.02,7.13
2021-12-19,8.9,-1.88,0.86,10.22
2021-12-20,8.3,3.16,0.02,7.41
2021-12-21,8.31,3.76,0,6.06
2021-12-22,12.17,0.48,0,9.68
2021-12-23,9.82,0.18,0,8.64
2021-12-24,2.35,-0.96,0.08,1.82
2021-12-25,13.86,-10.9,0,11.09
2021-12-26,13.87,-11.74,0,11.07
2021-12-27,6.58,-8.72,0.08,5.86
2021-12-28,4.18,-4.82,0,3.92
2021-12-29,5.52,-0.72,0.52,3.66
2021-12-30,10.11,-3.58,0,7.67
2021-12-31,13.95,-6.62,0,11.08
2022-01-01,12.52,-6.34,0,10.08
2022-01-02,9.85,-2.38,0.28,9.32
2022-01-03,10.72,-3.62,0,9.33
2022-01-04,13.28,-2.84,0.02,10.77
2022-01-05,6.85,-4.2,0,5.76
2022-01-06,13.14,-3.18,0,10.61
2022-01-07,12.94,-4.02,0,10.63
2022-01-08,5.24,-2.12,0,5.62
2022-01-09,9.13,-0.22,0,7.41
2022-01-10,7.36,-1.26,0.56,6.61
2022-01-11,10.46,-6.86,0.52,11.55
2022-01-12,13.9,-8.2,0,11.48
2022-01-13,14,-6.82,0,11.6
2022-01-14,14.67,-6.44,0,11.92
2022-01-15,5.01,-2.42,0,5.09
2022-01-16,14.15,-2.32,0,12.14
2022-01-17,9.61,-6.24,0.34,7.97
2022-01-18,13.76,-6.42,0,12.09
2022-01-19,2.31,-6.82,1.64,2.84
2022-01-20,10.86,-6.78,0,12.1
2022-01-21,14.63,-5.4,0,13.11
2022-01-22,8.74,-1.64,0,7.5
2022-01-23,11.06,1.34,0,9.97
2022-01-24,10.76,3.1,0,11
2022-01-25,1.78,2.08,0.7,1.72
2022-01-26,13.43,0.58,0,11.5
2022-01-27,13.92,-1.38,0,10.84
2022-01-28,16.05,-3,0,12.89
2022-01-29,16.52,-3.94,0,13.41
2022-01-30,16.46,-4.28,0,13.72
2022-01-31,14.5,-2.48,1.32,12.17
2022-02-01,2.73,-1.76,1.24,8.14
2022-02-02,14.96,-3.7,0,14.02
2022-02-03,17.19,-4.24,0,14.55
2022-02-04,16.55,-5.7,0,12.74
2022-02-05,16.74,-6.76,0,12.94
2022-02-06,17.61,-4.88,0,14.66
2022-02-07,11,-3.46,0,9.51
2022-02-08,16.28,-1.64,0,13.44
2022-02-09,14.86,-1.06,0,12.87
2022-02-10,16.48,0.3,0,13.98
2022-02-11,14.62,0.86,0,12.19
2022-02-12,16.31,2.64,0,14.24
2022-02-13,9.66,2.98,0,9.89
2022-02-14,7.96,1.16,1.3,8.63
2022-02-15,12.44,-4.4,0,8.41
2022-02-16,18.05,-7.2,0,14.58
2022-02-17,19.8,-6.76,0,16.45
2022-02-18,18.03,-2.94,0,15.54
2022-02-19,10.67,-1.52,0,10.45
2022-02-20,20.71,-4.68,0,17.25
2022-02-21,13.76,-3.6,0.12,12.66
2022-02-22,18.5,-4.52,0,16.9
2022-02-23,21.05,-5.74,0,17.83
2022-02-24,20.43,-3.52,0,17.73
2022-02-25,14.08,1.46,0,11.96
2022-02-26,7.28,5.02,2.48,8.32
2022-02-27,20.73,3.36,0,17.94
2022-02-28,12.52,4.48,0,11.81
2022-03-01,6.76,3.86,2.52,6.85
2022-03-02,21.35,2.3,0,18.82
2022-03-03,20.18,4.58,0,17.61
2022-03-04,12.86,5.82,0,11.85
2022-03-05,21.97,2.7,0,19.51
2022-03-06,22.32,1.6,0,19.95
2022-03-07,16.72,1.68,0,15.84
2022-03-08,17.48,4.4,0,17.01
2022-03-09,18.47,5.22,0,17.7
2022-03-10,16.48,7.24,0,15.66
2022-03-11,13.72,8.88,0,11.72
2022-03-12,11.84,11.56,5,11.66
2022-03-13,2.17,11.46,24.16,1.84
2022-03-14,2.51,7.88,7.12,2.21
2022-03-15,17.79,6.34,0,16.73
2022-03-16,18.5,8.9,0,17.02
2022-03-17,9.95,10.28,0.18,7.54
2022-03-18,5.84,7.1,0.46,5.06
2022-03-19,3.01,2.72,15.1,2.6
2022-03-20,13.98,4.02,0.08,16.73
2022-03-21,16.5,4.08,0,14.4
2022-03-22,22.69,6.48,0,20.68
2022-03-23,7.63,5.36,0,7.66
2022-03-24,6.68,7.26,0,8.49
2022-03-25,10.16,11.04,9.74,10.71
2022-03-26,7.27,11.4,26.92,7.73
2022-03-27,21.49,7.24,0,20.98
2022-03-28,24.66,6.42,0,23.36
2022-03-29,23.38,8.26,0,22.23
2022-03-30,7.51,9.22,0.5,6.27
2022-03-31,13.69,10.24,0.66,15.56
2022-04-01,23.29,8.04,0,21.02
2022-04-02,24.25,7,0,23.16
2022-04-03,23.97,8.46,0,23.02
2022-04-04,23.98,9.08,0,24.07
2022-04-05,21.43,9.34,0,20.95
2022-04-06,21.18,11.32,0,21.03
2022-04-07,23.62,10.76,0,22.79
2022-04-08,23.94,11.68,0,23.91
2022-04-09,20.42,16.32,0.34,19.31
2022-04-10,22.72,16.7,0,23.16
2022-04-11,22.2,18.5,0,22.46
2022-04-12,16.39,18.42,1.12,18.52
2022-04-13,5.14,11.52,8.3,1.67
2022-04-14,10.16,11.22,1.34,8.63
2022-04-15,24.25,11.56,0.08,24.91
2022-04-16,25.15,11.58,0,25.63
2022-04-17,24.35,12.48,0,24.93
2022-04-18,19.23,14.02,0,19.7
2022-04-19,23.46,13.46,0,24.6
2022-04-20,24.39,13.76,0,25.22
2022-04-21,18.8,14.5,0,19.29
2022-04-22,5.73,14.54,0,6.08
2022-04-23,20.34,15.96,0,20.71
2022-04-24,18.4,17.14,0.02,20.98
2022-04-25,10.55,19.08,1.6,10.33
2022-04-26,20.54,20.38,6.68,21.58
2022-04-27,24.23,16.54,0,25.42
2022-04-28,20.16,16.02,0.02,21.73
2022-04-29,14,11.9,15.82,11.1
2022-04-30,14.1,12.08,0,17.36
2022-05-01,25.06,12.12,0,26.36
2022-05-02,22.76,12.54,0,23.97
2022-05-03,24.95,13.02,0,26.7
2022-05-04,24.3,15.78,0,26.01
2022-05-05,25.33,16.98,0,27.26
2022-05-06,21.52,18.18,0,22.96
2022-05-07,19.54,17.56,0.04,20.77
2022-05-08,7.43,13.76,2.6,7.08
2022-05-09,25.74,16.24,0,28.14
2022-05-10,23.83,17.62,0,26.21
2022-05-11,21.92,18.52,0,22.81
2022-05-12,22.91,19.36,0,25.66
2022-05-13,14.04,17.42,0,15.79
2022-05-14,22.76,14.42,0,22.58
2022-05-15,25.8,14.5,0,28.74
2022-05-16,24.91,15.88,0,27.7
2022-05-17,23.63,18.5,0,26.37
2022-05-18,15.06,18.96,0.66,18.2
2022-05-19,18.59,19.1,0,18.86
2022-05-20,21.62,19.1,0,23.85
2022-05-21,21.39,19.24,0,24.84
2022-05-22,19.26,19.32,0,25.51
2022-05-23,21.65,21.1,0,25.57
2022-05-24,23.86,21.34,0,27.33
2022-05-25,19.44,19.7,7.68,21.37
2022-05-26,24.1,17.96,0.26,27.49
2022-05-27,23.67,19.16,0,28.58
2022-05-28,23.72,20.36,0,26.81
2022-05-29,19.85,21.22,0,21.94
2022-05-30,8.72,19.34,0.36,8.53
2022-05-31,23.58,18.76,0,27.26
2022-06-01,24.93,20.4,0,29.03
2022-06-02,22.48,19.86,0,26.04
2022-06-03,22.6,22.92,0,26.22
2022-06-04,16.91,23.36,0,18.04
2022-06-05,6.67,20.36,0.4,6.7
2022-06-06,14.65,17.86,11.42,13.72
2022-06-07,18.6,18.56,0,19.81
2022-06-08,19.77,19.96,0,19.56
2022-06-09,12.32,19.6,0.52,14.3
2022-06-10,14.41,20.06,1.12,16.93
2022-06-11,23.47,22.54,0,25.28
2022-06-12,21.04,22.88,0,22.93
2022-06-13,17.72,21.98,12.24,25.1
2022-06-14,16.2,20.24,0.28,17.95
2022-06-15,6.91,16.56,31.5,6.38
2022-06-16,16.18,19.62,2.1,15.28
2022-06-17,16.24,21.36,0,12.71
2022-06-18,8.64,22.7,0,8.87
2022-06-19,7.31,22.68,0.14,7.08
2022-06-20,16.44,24.22,0,16.45
2022-06-21,22.46,25.36,0.08,26.27
2022-06-22,18.01,24.72,0,19.79
2022-06-23,4.28,23.34,92.24,3.91
2022-06-24,12.74,23.32,11.96,14.35
2022-06-25,16.94,25.5,0,19.86
2022-06-26,6.19,25.9,0,7.17
2022-06-27,6.39,26.36,14.84,6.92
2022-06-28,5.02,27.14,3.46,8.93
2022-06-29,4.83,24.92,52.04,5.25
2022-06-30,4.05,22.24,196.12,4.8
2022-07-01,19.52,26.14,1.82,22.73
2022-07-02,21.26,27.1,0,25.34
2022-07-03,21.96,27.68,0,25.06
2022-07-04,17.93,27.88,0,18.76
2022-07-05,16.51,27.3,7,18.68
2022-07-06,15.5,27.96,13.26,18.29
2022-07-07,10.16,27.78,1.94,11.54
2022-07-08,9.85,25.52,1.56,16.26
2022-07-09,15.19,26.48,0.1,17.2
2022-07-10,20.05,27.78,0,23.79
2022-07-11,15.11,25.32,7.64,14.16
2022-07-12,13.08,25.7,0,14.12
2022-07-13,1.61,23.9,121.18,1.12
2022-07-14,14.7,24.875,1.64,14.71
2022-07-15,19.57,25.14,0,24.19
2022-07-16,14.23,23.84,7.9,22.39
2022-07-17,14.47,24.68,0,18.48
2022-07-18,13.59,25.12,0.04,11.8
2022-07-19,18.58,25.8,0.22,22.84
2022-07-20,15.65,26.1,0.56,19.6
2022-07-21,6.71,22.6,20.36,6.35
2022-07-22,14.94,23.94,10.66,16.41
2022-07-23,9.76,23.58,33.68,9.85
2022-07-24,10.01,24.28,3.8,10.2
2022-07-25,21.33,26.38,0,22.98
2022-07-26,20.45,27.12,0,24.15
2022-07-27,17.2,27,0,18.67
2022-07-28,20.93,27.42,0.06,24.62
2022-07-29,19.66,28.96,1.24,22.4
2022-07-30,19.17,28.88,1.2,21.65
2022-07-31,5.3,26.04,38.22,4.92
2022-08-01,12.37,27.66,35.52,15
2022-08-02,6.92,26.46,16.6,7.71
2022-08-03,11,27.04,48.72,14.34
2022-08-04,17.93,28.1,0.88,23.25
2022-08-05,16.52,28.22,0.22,18.26
2022-08-06,11.93,27.82,1.78,11.26
2022-08-07,9.95,28.3,0.12,12.36
2022-08-08,2.01,26.2,145.92,1.78
2022-08-09,3.09,25.06,143.06,3
2022-08-10,10.87,23.76,19.38,7.98
2022-08-11,7.42,24.18,51.56,5.56
2022-08-12,21.11,25.84,0,24.69
2022-08-13,4.46,24.18,5.52,4.73
2022-08-14,9.96,25.96,24.62,10.29
2022-08-15,7.93,27.52,12.74,11.97
2022-08-16,20.16,25.9,0,24.88
2022-08-17,16.11,24.12,7.24,17.92
2022-08-18,16.96,24.42,0,18.62
2022-08-19,6.63,24.76,28.78,7.09
2022-08-20,18.95,27.3,0.4,21.06
2022-08-21,19.05,26.58,0,20.09
2022-08-22,12.14,25.54,1.38,12.85
2022-08-23,13.11,23.86,2.68,12.27
2022-08-24,13,23.38,0,14.55
2022-08-25,5.95,21.18,0.88,6.22
2022-08-26,17.93,22.66,0,20.74
2022-08-27,23.6,20.74,2.88,25.39
2022-08-28,22.8,20.46,0,24.93
2022-08-29,5.24,19.58,1.94,5.45
2022-08-30,2.83,18.48,38.7,2.91
2022-08-31,9.32,20.7,0.88,6.47
2022-09-01,21.23,22.28,0,22.64
2022-09-02,20.96,23,0,22.19
2022-09-03,15.89,22.64,0,18.07
2022-09-04,3.77,21.96,25.7,4.17
2022-09-05,1.32,19.38,115.98,0.94
2022-09-06,17.59,20.42,38.16,19.2
2022-09-07,21.19,20.48,0,21.36
2022-09-08,21.65,20.7,0,22.63
2022-09-09,20.38,21.68,0,21.7
2022-09-10,16.67,21.1,0,16.76
2022-09-11,8.97,21.64,0.02,9.67
2022-09-12,12.95,22.34,0,12.45
2022-09-13,8.06,23.06,0.02,6.12
2022-09-14,9.85,23.32,0.04,10.31
2022-09-15,12.63,23.78,0,12.63
2022-09-16,11.79,24.925,4.92,13.02
2022-09-17,12.93,24.9,4.32,13.46
2022-09-18,13.72,25.56,0,13.82
2022-09-19,17.68,23.28,0,16.29
2022-09-20,17.24,17.84,0,16.62
2022-09-21,21.05,16.86,0,21.27
2022-09-22,18.37,17.48,0,18.03
2022-09-23,15.04,16,2.08,15.53
2022-09-24,20.94,16.14,0,20.23
2022-09-25,16.15,16.96,0,15.88
2022-09-26,17.48,17.34,0,17.41
2022-09-27,20.29,18.02,0,20.18
2022-09-28,13.59,18.02,0,14.12
2022-09-29,15.31,17.94,0,15.33
2022-09-30,16.94,17.82,0,18.29
2022-10-01,15.17,18.12,0,13.57
2022-10-02,4.67,17.74,15.82,5.85
2022-10-03,1.66,20.58,61.86,0.99
2022-10-04,6.51,17.92,21.88,12.02
2022-10-05,13.21,15.54,0.18,14.65
2022-10-06,9.96,15.14,0.02,10.72
2022-10-07,14.21,13.52,0,16.89
2022-10-08,18.23,13.68,0,16.65
2022-10-09,2.89,12.34,19.42,2.34
2022-10-10,8.11,9.34,4.7,7.54
2022-10-11,18.58,10.26,0,17.61
2022-10-12,17.89,11.18,0,17.43
2022-10-13,18.47,13.82,0,17.39
2022-10-14,13.42,14.98,0,13.3
2022-10-15,16.22,16.1,0,15.34
2022-10-16,5.32,15.22,0.12,5.8
2022-10-17,20.03,10.86,0,17.7
2022-10-18,19.43,7.5,0,17.14
2022-10-19,18.81,7.84,0,16.41
2022-10-20,18.09,10.16,0,15.96
2022-10-21,14.65,11.38,0,13.36
2022-10-22,15.25,13.32,0,14.44
2022-10-23,14.71,12.88,0,14.33
2022-10-24,16.84,9.32,0,15.51
2022-10-25,17.44,9.4,0,15.46
2022-10-26,14.76,10.48,0,12.77
2022-10-27,15.07,11.2,0,13.47
2022-10-28,13.64,11.76,0,13.68
2022-10-29,15.21,12.28,0,13.54
2022-10-30,14.78,12.54,0,13.27
2022-10-31,13.76,12.88,0,13.16
2022-11-01,9.92,11.4,0,10.16
2022-11-02,15.6,8.78,0,14.33
2022-11-03,4.77,7.94,0,5.31
2022-11-04,16.91,4.1,0,14.35
2022-11-05,16.6,4.44,0,14.2
2022-11-06,15.35,7.16,0,13.76
2022-11-07,9.81,9.1,0,8.77
2022-11-08,11.77,10.28,0.04,10.4
2022-11-09,9.77,9.14,0,9.91
2022-11-10,10.74,10.82,0,10.31
2022-11-11,12.44,12.84,0,11.29
2022-11-12,7.22,14.38,32.44,6.41
2022-11-13,2.54,10.06,0.06,2.63
2022-11-14,8.3,8.78,0,8.3
2022-11-15,7.87,5.96,2.08,5.46
2022-11-16,10.72,6.6,0,11.28
2022-11-17,12.91,7.8,0,10.99
2022-11-18,13.48,8.1,0,11.43
2022-11-19,12.46,10,0,10.18
2022-11-20,12.58,11.28,0,11.01
2022-11-21,7.8,9.68,0,8.27
2022-11-22,5.35,8.68,0.12,4.53
2022-11-23,12.25,10.2,0,10.72
2022-11-24,10.33,7.1,0,9.51
2022-11-25,10.81,10.44,0.9,9.95
2022-11-26,13.31,5.86,0.34,10.71
2022-11-27,11.89,3.36,0,10.33
2022-11-28,3.58,9.1,25.34,4.21
2022-11-29,5.24,6.88,3.06,4.8
2022-11-30,13.87,-5.16,0,11.35
2022-12-01,13.08,-5.7,0,10.35
2022-12-02,13.77,-4.34,0,11.07
2022-12-03,4.92,0.56,0.66,5.19
2022-12-04,7.23,-3.34,0,6.21
2022-12-05,13.54,-3.72,0,10.48
2022-12-06,6.38,-1.9,1,6.7
2022-12-07,8.92,2.12,0.24,6.81
2022-12-08,12.19,0.92,0,9.82
2022-12-09,7.6,1.42,0.06,7.27
2022-12-10,7.39,-0.4,0,6.05
2022-12-11,12.42,-0.62,0,10.25
2022-12-12,6.54,-0.02,2.12,5.98
2022-12-13,4.18,-0.56,1.78,3.86
2022-12-14,7.94,-8.48,0,10.14
2022-12-15,1.5,-5.92,2.16,2.67
2022-12-16,3.08,-7.2,0,7.12
2022-12-17,5.63,-8.04,0.18,9.85
2022-12-18,8.24,-10.24,0,10.8
2022-12-19,7.45,-9.1,0,9
2022-12-20,9.39,-5.54,0,10.69
2022-12-21,0.68,-1.36,4.56,2.58
2022-12-22,3.28,-8,0,9.91
2022-12-23,4.08,-12.1,0,9.84
2022-12-24,6.97,-10.98,0,10.49
2022-12-25,8.55,-8.48,0,10.67
2022-12-26,6.98,-7.34,0,7.69
2022-12-27,10.13,-5.98,0,10.07
2022-12-28,10.49,-4.86,0.28,10.61
2022-12-29,11.42,-5.44,0,9.28
2022-12-30,10.62,-3.8,0.08,10.46
2022-12-31,5.24,-4.26,0,5.37
2023-01-01,12.17,-2.34,0,11.14
2023-01-02,13.48,-5.82,0,11.09
2023-01-03,13.44,-7.12,0,11.11
2023-01-04,12.49,-4.56,0,10.12
2023-01-05,8.26,-4.78,0,5.26
2023-01-06,8.76,-1.96,3.22,8.01
2023-01-07,4.93,0.28,0.64,7.01
2023-01-08,8.69,-1.36,0,9.49
2023-01-09,11.07,1.98,0,9.76
2023-01-10,13.13,-1,0,10.85
2023-01-11,12.32,-0.62,0,10.18
2023-01-12,12.36,2.52,0.04,10.52
2023-01-13,1.22,5.2,28.5,1.2
2023-01-14,1.3,4.66,3.68,1.33
2023-01-15,0.25,-0.7,4.72,0.81
2023-01-16,7.45,-4.9,0,10
2023-01-17,4.92,-5.1,0,6.86
2023-01-18,11.41,-3.24,0,12.48
2023-01-19,9.85,-1.84,1.58,9.21
2023-01-20,11.36,-3.4,0.46,12.51
2023-01-21,12.42,-6.16,0,11.81
2023-01-22,4.43,-1.68,0.14,4.56
2023-01-23,10.33,-1.36,0.02,10.44
2023-01-24,16,-14.06,0,13.66
2023-01-25,16.3,-12.62,0,13.56
2023-01-26,1.72,-7.16,0.64,3.12
2023-01-27,12.68,-8.1,0,13.68
2023-01-28,14.82,-6.62,0.08,11.9
2023-01-29,10.84,-3.22,0.08,10.34
2023-01-30,16.28,-2,0,13.06
2023-01-31,9.58,0.82,0,11.61
2023-02-01,14.31,1.08,0,12.74
2023-02-02,11.45,-2.94,0,9.96
2023-02-03,14.21,-2.3,0,12.29
2023-02-04,14.55,-2.34,0,12.38
2023-02-05,12.68,-1.08,0,11.79
2023-02-06,11.4,0.56,0,11.01
2023-02-07,10.11,1.12,0,9.27
2023-02-08,15.06,0.32,0,13.29
2023-02-09,13.23,2.56,0,12.21
2023-02-10,6.57,2.76,0.58,6.14
2023-02-11,9.73,0.24,0,10.05
2023-02-12,7.91,1.8,0,8.29
2023-02-13,7.07,4.98,0,6.94
2023-02-14,16.22,1.18,0,15.18
2023-02-15,15.26,1.8,0,14.08
2023-02-16,8.4,1.06,0,8.03
2023-02-17,14.92,1.56,0,13.44
2023-02-18,2.93,4.04,0,3.96
2023-02-19,15.17,3.06,0.14,14.65
2023-02-20,20.12,-0.96,0,17.44
2023-02-21,19.73,-1.92,0,17.41
2023-02-22,18.25,-0.2,0,16.49
2023-02-23,16.59,2.04,0,14.86
2023-02-24,18.2,2.42,0,16.75
2023-02-25,20.02,0.32,0,17.92
2023-02-26,20.03,0.92,0,18.16
2023-02-27,19.67,2.42,0,18.29
2023-02-28,14.43,3.16,0,17.09
2023-03-01,9.54,5.3,0,8.99
2023-03-02,20.51,1.94,0,18.93
2023-03-03,15.94,2.86,0,17.56
2023-03-04,15.05,5.82,0,15.14
2023-03-05,17.44,5.92,0,16.95
2023-03-06,18.82,6.44,0,18.34
2023-03-07,15.65,9.52,0,16.67
2023-03-08,7.9,9.78,2.64,10.66
2023-03-09,8.88,9.86,0.84,9.43
2023-03-10,16.71,11.26,0,16.71
2023-03-11,15.89,13.42,0,16.57
2023-03-12,3.84,5.4,5.82,4.8
2023-03-13,21.78,2.58,0,20.37
2023-03-14,19.83,7.64,0,20.18
2023-03-15,8.72,7.72,0.02,12.49
2023-03-16,17.98,4.38,0,16.57
2023-03-17,15.57,6.12,0,15.48
2023-03-18,19.53,7.38,0,18.78
2023-03-19,20.71,6.66,0,20.37
2023-03-20,18.91,7.44,0,18.4
2023-03-21,20.87,10.66,0,21.21
2023-03-22,16.4,15.04,0,17.66
2023-03-23,12.06,16,0.36,12.53
2023-03-24,13.2,11.52,0,14.71
2023-03-25,14.18,11.38,0,12.48
2023-03-26,23.01,9.22,0,23.27
2023-03-27,22.16,6.08,0,22.37
2023-03-28,16.49,7.56,0,17.08
2023-03-29,20.37,9.92,0,21.23
2023-03-30,21.66,11.7,0,22.69
2023-03-31,21.17,13.12,0,22.03
2023-04-01,20.18,15.3,0,21.67
2023-04-02,21.72,16.6,0,23.41
2023-04-03,21.17,16.58,0,22.77
2023-04-04,11.3,16.2,6.26,13.34
2023-04-05,1.83,11.84,42.34,1.85
2023-04-06,2.37,8.72,2.94,2.54
2023-04-07,20.27,8.24,0,23.36
2023-04-08,24.87,7.74,0,25.2
2023-04-09,24.45,9.42,0,25.12
2023-04-10,21.61,11.88,0,22.46
2023-04-11,3.22,12.55,3.22,3.05
2023-04-12,23.64,9.28,0,24.5
2023-04-13,16.09,10.8,0,15.19
2023-04-14,15.8,14.64,0,20.17
2023-04-15,8.25,12.2,3.58,9.84
2023-04-16,14.7,10.56,0.34,15.44
2023-04-17,17.04,12.1,0,19.84
2023-04-18,8.34,13.04,2.1,8.53
2023-04-19,23.85,18.28,0,26.85
2023-04-20,6.74,16.3,0.24,9.22
2023-04-21,19.68,16.82,0,20.5
2023-04-22,18.73,15.46,0,21.27
2023-04-23,17.22,14.5,0,16.33
2023-04-24,18.61,14.72,0,20.14
2023-04-25,6.73,9.32,1.4,7.96
2023-04-26,14.96,9.58,0.1,15.19
2023-04-27,23.84,11.4,0,26.05
2023-04-28,20.62,14.42,1.42,22.11
2023-04-29,4.53,12.78,14.86,5.3
2023-04-30,19.69,12.5,0.1,23.6
2023-05-01,23.02,13.8,0,25.61
2023-05-02,19.88,15.04,0,22.05
2023-05-03,22.82,17.98,0,26.04
2023-05-04,16.29,20.24,0,18.19
2023-05-05,2.25,17.8,38.4,2.8
2023-05-06,4.45,12.18,39.08,5.05
2023-05-07,10.52,12.4,0.8,9.17
2023-05-08,24.62,13.38,0,26.55
2023-05-09,24.54,15.24,0,27.72
2023-05-10,22.39,16.64,0,23.38
2023-05-11,23.72,17.76,0,27.24
2023-05-12,18.86,16.84,0,20.94
2023-05-13,21.34,16.68,0.06,25.47
2023-05-14,21.94,16.74,0,27.2
2023-05-15,22.97,18.86,0,27.05
2023-05-16,23.36,21.78,0,27.2
2023-05-17,22.83,21.82,0,27.62
2023-05-18,12.68,19.88,0.56,9.84
2023-05-19,19.39,20.32,0,20.45
2023-05-20,21.77,19.94,0,24.9
2023-05-21,17.29,17.9,0.14,16.32
2023-05-22,18.83,18.74,1.62,19.87
2023-05-23,24.34,18.36,0,26.38
2023-05-24,18.26,18.6,0,18.6
2023-05-25,23.03,19.8,0,27
2023-05-26,21.83,20.1,0.2,26.27
2023-05-27,4.03,17.92,24.56,3.69
2023-05-28,2.37,18.92,31.44,1.73
2023-05-29,13.86,22.34,6.18,10.38
2023-05-30,15.5,22.02,3.12,16.59
2023-05-31,22.29,21.44,0,25.83
2023-06-01,14.17,21.56,0,15.63
2023-06-02,16.55,20.1,0,14.94
2023-06-03,25.04,21.12,0,30.08
2023-06-04,22.52,20.96,0,24.23
2023-06-05,21.45,20.34,0,25.83
2023-06-06,19.14,19.78,0.06,25.11
2023-06-07,12.64,20.68,0.06,11.57
2023-06-08,10.41,20.2,14.94,10.42
2023-06-09,22.54,21.62,4.94,27.07
2023-06-10,16.11,21.66,5.24,20.36
2023-06-11,18.58,21.14,3.28,23.09
2023-06-12,18.12,21.26,0,21.74
2023-06-13,22.25,21.2,0.14,29.35
2023-06-14,21,20.54,0.68,24.78
2023-06-15,20.65,21.6,0.48,19.51
2023-06-16,24.08,22.74,0,29.06
2023-06-17,22.65,23.14,0,26.76
2023-06-18,22.49,24.48,0,27.54
2023-06-19,20.68,26.48,0,25.01
2023-06-20,7.39,23.1,7.36,6.96
2023-06-21,6.15,19.78,26.86,6.76
2023-06-22,17.41,21.68,1.58,23.67
2023-06-23,18.75,23.2,0,20.8
2023-06-24,21.92,24.96,0,24.95
2023-06-25,19.69,26.34,0,22.4
2023-06-26,4.14,23.38,37.8,4.15
2023-06-27,17.26,24.36,2.86,21.46
2023-06-28,16,25.18,0.04,18.45
2023-06-29,2.43,23.76,60.4,2.92
2023-06-30,14.12,25.04,9.08,11.19
2023-07-01,21.25,26.68,0,26.18
2023-07-02,16.42,25.6,0,20.65
2023-07-03,20.87,27.34,0,26.16
2023-07-04,8.46,24.82,44.48,5.82
2023-07-05,16,23.86,21.16,17.62
2023-07-06,19.62,26.16,0,24.51
2023-07-07,17.05,24.8,0,21.34
2023-07-08,14,24.44,0.48,14.19
2023-07-09,9.24,24.12,23.14,9.14
2023-07-10,17.21,26.08,13.18,20.34
2023-07-11,3.83,22.52,64.18,3.64
2023-07-12,12.13,25,1.88,15.58
2023-07-13,3.18,24.52,55.4,2.97
2023-07-14,1.66,24.4,79,1.61
2023-07-15,3.28,23.94,14.72,3.94
2023-07-16,6.93,23.84,0.68,7.04
2023-07-17,8.92,24.24,9.92,10.7
2023-07-18,7.35,23.96,25.84,6.08
2023-07-19,20.55,25.82,0,24.57
2023-07-20,19.45,26.26,0,24.11
2023-07-21,20.65,27.5,0,24.41
2023-07-22,15.11,26.34,5.28,17.41
2023-07-23,2.82,24.48,51.02,2.57
2023-07-24,13.86,26.1,3.32,15.74
2023-07-25,15.61,26.6,4.28,19.19
2023-07-26,14.78,25.54,35.1,19.29
2023-07-27,19.2,27.4,0,21.79
