년-월-일,평균기온,강수량,풍속,상대습도,일사량
2080-12-02,15.7,0.4,1.2,79.8,5.18
2080-12-03,12.7,0.2,1.9,73.7,3.22
2080-12-04,9.3,0,0.9,50.7,11.85
2080-12-05,8.8,3.4,2.3,64.9,4.14
2080-12-06,2,0.1,2.7,48.3,8.86
2080-12-07,-0.6,0,3.2,43.8,10.12
2080-12-08,-0.1,0,0.9,47.8,12.19
2080-12-09,5.4,0,0.7,64.9,5.29
2080-12-10,9.8,0.2,0.8,69.9,3.57
2080-12-11,11.4,0,0.8,64.4,7.71
2080-12-12,11.8,1,0.7,68.3,9.78
2080-12-13,6.9,3.3,3.7,67.2,5.64
2080-12-14,-5.6,0.2,5.6,49.1,8.05
2080-12-15,-5.2,0,2.8,51.8,9.66
2080-12-16,-2.5,0,0.7,56.6,11.39
2080-12-17,3.1,0,1.1,67.1,8.05
2080-12-18,8.7,3.4,0.9,79.2,5.41
2080-12-19,5.2,0.2,2.8,58.2,7.71
2080-12-20,3.6,1,1,53,9.66
2080-12-21,2.6,0.1,1.2,56.8,6.90
2080-12-22,4.1,0,0.9,60.1,8.05
2080-12-23,7,0,1,76.8,5.18
2080-12-24,9.3,0.2,0.7,86.1,4.14
2080-12-25,11,2.3,1,79.5,4.83
2080-12-26,10.2,0.4,1.1,80.8,4.03
2080-12-27,10,4.4,3.3,70.3,5.29
2080-12-28,7.7,7.4,4.9,73,2.07
2080-12-29,4.5,0,2.6,76.3,6.33
2080-12-30,4.9,0,0.6,68.6,7.59
2080-12-31,4.3,0,0.8,72.9,8.17
2081-01-01,6.6,0,0.4,76.1,6.79
2081-01-02,7.4,0.1,0.5,80,7.02
2081-01-03,9.6,18.2,1.8,78.6,5.64
2081-01-04,-0.8,0,6.5,56.6,8.17
2081-01-05,-2.6,0.4,2.1,56.2,12.31
2081-01-06,0,0,0.7,63,11.16
2081-01-07,3.1,0,0.6,73,9.66
2081-01-08,6.6,0,0.7,75.9,6.44
2081-01-09,9,0,0.7,77.2,9.55
2081-01-10,9.4,0,0.1,75.6,6.21
2081-01-11,9.3,0,0.1,77.7,7.71
2081-01-12,8,0,0.9,76.1,6.79
2081-01-13,8.1,0.3,1.2,73.6,8.05
2081-01-14,11,0.7,1.3,72,5.87
2081-01-15,4.9,0.1,3.6,61,4.60
2081-01-16,1.3,0,1.6,53.4,10.35
2081-01-17,5.2,0,0.1,64,9.09
2081-01-18,7.4,0,0.1,75.9,5.87
2081-01-19,7.4,0,0.7,68.2,9.43
2081-01-20,5.6,0,0.4,61.9,9.20
2081-01-21,4.8,0,0.2,63.7,8.74
2081-01-22,6.8,0,0.5,69.3,6.79
2081-01-23,2.5,0.3,3.5,49,7.13
2081-01-24,-4,0,5.1,47.1,12.31
2081-01-25,-6.9,0,4.3,49.7,9.66
2081-01-26,-3.6,0,2.3,50.9,12.65
2081-01-27,0,0,0.4,51.9,15.07
