년-월-일,평균기온,강수량,풍속,상대습도,일사량
2080-12-02,15.7,0.4,1.2,79.8,3.83
2080-12-03,12.7,0.2,1.9,73.7,2.38
2080-12-04,9.3,0,0.9,50.7,8.76
2080-12-05,8.8,3.4,2.3,64.9,3.06
2080-12-06,2,0.1,2.7,48.3,6.55
2080-12-07,-0.6,0,3.2,43.8,7.48
2080-12-08,-0.1,0,0.9,47.8,9.01
2080-12-09,5.4,0,0.7,64.9,3.91
2080-12-10,9.8,0.2,0.8,69.9,2.64
2080-12-11,11.4,0,0.8,64.4,5.70
2080-12-12,11.8,1,0.7,68.3,7.23
2080-12-13,6.9,3.3,3.7,67.2,4.17
2080-12-14,-5.6,0.2,5.6,49.1,5.95
2080-12-15,-5.2,0,2.8,51.8,7.14
2080-12-16,-2.5,0,0.7,56.6,8.42
2080-12-17,3.1,0,1.1,67.1,5.95
2080-12-18,8.7,3.4,0.9,79.2,4.00
2080-12-19,5.2,0.2,2.8,58.2,5.70
2080-12-20,3.6,1,1,53,7.14
2080-12-21,2.6,0.1,1.2,56.8,5.10
2080-12-22,4.1,0,0.9,60.1,5.95
2080-12-23,7,0,1,76.8,3.83
2080-12-24,9.3,0.2,0.7,86.1,3.06
2080-12-25,11,2.3,1,79.5,3.57
2080-12-26,10.2,0.4,1.1,80.8,2.98
2080-12-27,10,4.4,3.3,70.3,3.91
2080-12-28,7.7,7.4,4.9,73,1.53
2080-12-29,4.5,0,2.6,76.3,4.68
2080-12-30,4.9,0,0.6,68.6,5.61
2080-12-31,4.3,0,0.8,72.9,6.04
2081-01-01,6.6,0,0.4,76.1,5.02
2081-01-02,7.4,0.1,0.5,80,5.19
2081-01-03,9.6,18.2,1.8,78.6,4.17
2081-01-04,-0.8,0,6.5,56.6,6.04
2081-01-05,-2.6,0.4,2.1,56.2,9.10
2081-01-06,0,0,0.7,63,8.25
2081-01-07,3.1,0,0.6,73,7.14
2081-01-08,6.6,0,0.7,75.9,4.76
2081-01-09,9,0,0.7,77.2,7.06
2081-01-10,9.4,0,0.1,75.6,4.59
2081-01-11,9.3,0,0.1,77.7,5.70
2081-01-12,8,0,0.9,76.1,5.02
2081-01-13,8.1,0.3,1.2,73.6,5.95
2081-01-14,11,0.7,1.3,72,4.34
2081-01-15,4.9,0.1,3.6,61,3.40
2081-01-16,1.3,0,1.6,53.4,7.65
2081-01-17,5.2,0,0.1,64,6.72
2081-01-18,7.4,0,0.1,75.9,4.34
2081-01-19,7.4,0,0.7,68.2,6.97
2081-01-20,5.6,0,0.4,61.9,6.80
2081-01-21,4.8,0,0.2,63.7,6.46
2081-01-22,6.8,0,0.5,69.3,5.02
2081-01-23,2.5,0.3,3.5,49,5.27
2081-01-24,-4,0,5.1,47.1,9.10
2081-01-25,-6.9,0,4.3,49.7,7.14
2081-01-26,-3.6,0,2.3,50.9,9.35
2081-01-27,0,0,0.4,51.9,11.14
2081-01-28,4.7,0,0.1,55.7,8.50
2081-01-29,10.3,3.3,0.4,61,2.47
2081-01-30,13.4,25.8,1.7,86.8,0.94
2081-01-31,11.8,5,0.9,87,1.36
2081-02-01,11.3,2.5,1.2,85,3.66
2081-02-02,9.2,0,1.5,70.6,4.34
2081-02-03,5.6,0.2,1.7,59.4,5.02
2081-02-04,5.1,2.2,1.3,55.2,8.93
2081-02-05,7.2,3.4,1.7,69.1,3.32
2081-02-06,7,5.4,3.2,73.6,4.42
2081-02-07,1.3,0.9,3.4,58.8,5.36
2081-02-08,-3.2,0,3.8,43,8.76
2081-02-09,-3.6,0,3.3,51.6,9.35
2081-02-10,-1.6,0,2.1,52.3,9.52
2081-02-11,0,0,1.3,45.1,9.69
2081-02-12,2.7,4,0.8,56.7,7.40
2081-02-13,7.4,12.7,0.9,67.1,2.98
2081-02-14,8.5,4.8,2.3,77.4,2.21
2081-02-15,8.6,2.8,2.6,62.7,5.19
2081-02-16,7.9,3.1,2,78.8,0.17
2081-02-17,4.5,0.1,3.2,62.1,6.29
2081-02-18,-0.6,0,4.2,44.6,9.10
2081-02-19,-2.2,0,2.5,51.1,7.40
2081-02-20,-1.6,0,2.7,43.1,10.37
2081-02-21,-0.7,0,2.3,44.7,12.33
2081-02-22,1.8,0,1.8,55.3,10.29
2081-02-23,1.7,0,2.1,51.9,11.90
2081-02-24,2.6,0,1.3,49.7,14.11
2081-02-25,5.5,0,0.5,56,12.33
2081-02-26,7.3,1.8,0.7,58.9,10.54
2081-02-27,8,2.7,2.1,72.5,4.08
2081-02-28,8.8,0,1.6,65,5.78
2081-03-01,6.5,0.2,0.9,54.2,9.18
2081-03-02,7.5,0,0.5,56.6,14.71
2081-03-03,11,0,0.4,58.3,13.01
2081-03-04,13.5,0,0.5,63,12.16
2081-03-05,14.5,16.1,1.9,76.7,6.80
2081-03-06,8.2,9.7,7.2,72.1,7.65
2081-03-07,4.6,0.2,3.8,68.1,11.56
2081-03-08,8,0,2.1,62.2,14.45
2081-03-09,11.3,0,1.6,64.4,13.43
2081-03-10,12.2,4.4,2.2,72.8,10.20
2081-03-11,7.2,0.4,3.5,62.4,7.82
2081-03-12,4.6,0,4.2,51,7.91
2081-03-13,4,0,2.2,45.9,15.98
2081-03-14,7.6,0,1.1,52.6,16.32
2081-03-15,10,2.7,4.5,69.4,4.68
2081-03-16,10.6,1.2,2.6,74.1,4.42
2081-03-17,8,1.4,4,67.5,4.76
2081-03-18,5.8,0,4.9,55.5,10.29
2081-03-19,6.9,0,1.3,47.9,13.18
2081-03-20,11.1,3.3,0.7,54.7,9.78
2081-03-21,12.1,2.6,1.9,65.1,6.12
2081-03-22,10.7,1.5,2.4,55.6,12.84
2081-03-23,7.3,0,2.5,46.9,16.24
2081-03-24,7.5,0.1,2.2,45.5,15.73
2081-03-25,6.1,0,2.6,43.8,9.95
2081-03-26,4,0,3.4,40.4,15.98
2081-03-27,4.5,0,3.2,38.8,19.64
2081-03-28,4.5,0,2.2,44.3,17.85
2081-03-29,7.5,0,0.6,51.2,16.24
2081-03-30,11,0.6,0.4,66,10.46
2081-03-31,13,0.5,0.3,69,9.10
2081-04-01,14.4,0,0.8,69.5,14.37
2081-04-02,14.3,0,0.9,68.4,17.17
2081-04-03,15.1,0,0.7,55.4,12.24
2081-04-04,13.8,0,2.7,38.2,15.56
2081-04-05,11.4,0,1.9,32.6,12.33
2081-04-06,13.3,1.5,0.9,44.3,9.35
2081-04-07,11.6,13.6,2.6,82.1,1.70
2081-04-08,11.1,0.1,1.8,65.4,9.69
2081-04-09,13.2,0.5,1.6,64.8,12.24
2081-04-10,13.4,0.5,3.9,58,15.64
2081-04-11,11.4,0,2.9,41.5,19.81
2081-04-12,12.9,0,0.6,38.1,19.98
2081-04-13,14.8,0,0.6,44.4,18.79
2081-04-14,15.5,0.6,2.7,51.5,9.69
2081-04-15,13.1,0,2.6,49.1,20.66
2081-04-16,16.6,0,1.7,58.2,13.77
2081-04-17,18.2,0,1.2,54.9,15.98
2081-04-18,19.2,0,1.1,42.8,15.98
2081-04-19,20,0,2.2,43.9,22.44
2081-04-20,22,4,3.4,57.3,17.85
2081-04-21,19.1,10.9,1.6,82.6,7.82
2081-04-22,19.1,0,0.8,71.6,10.97
2081-04-23,20.6,6,0.6,62.1,9.95
2081-04-24,19.6,0.1,0.8,66.8,10.97
2081-04-25,20.9,0.7,0.7,62.8,16.32
2081-04-26,20.8,0.3,1.3,63.4,13.69
2081-04-27,20.1,1.1,1.8,56.2,15.56
2081-04-28,21.9,0.3,1.5,50.4,17.77
2081-04-29,23.2,4,2.2,69.5,12.75
2081-04-30,19.6,0.9,1.7,64.5,7.65
2081-05-01,20.8,0,1.9,54.9,17.60
2081-05-02,19.6,3.4,1.4,70.6,6.80
2081-05-03,18.3,1.5,0.8,77.7,11.73
2081-05-04,19.8,0,1.2,58.3,26.35
2081-05-05,21.4,0,1.5,50.3,23.38
2081-05-06,21.6,5.2,2.8,60.4,11.31
2081-05-07,19.2,7.5,1.7,66.7,11.31
2081-05-08,21.1,0,0.8,42.9,19.55
2081-05-09,22.2,0,0.3,51.1,18.70
2081-05-10,23.7,0,0.3,51.6,20.74
2081-05-11,25.4,0,0.1,47.1,22.02
2081-05-12,24.3,0,0.5,61,13.86
2081-05-13,24.8,0,0.6,57.3,17.17
2081-05-14,26.5,0,1,54.3,18.62
2081-05-15,25.8,0,1.2,68.3,14.88
2081-05-16,26.6,22.7,2.7,72.3,17.60
2081-05-17,23.6,36.9,3.9,88.7,4.42
2081-05-18,17.5,1.9,4.5,72.1,10.88
2081-05-19,19.7,0,1.3,58.9,22.53
2081-05-20,21.8,0,0.6,57.3,24.57
2081-05-21,23.5,0,1.2,47.8,25.76
2081-05-22,24.8,0,1,53.5,18.19
2081-05-23,25.6,7.7,2.6,65.4,18.79
2081-05-24,21.8,0.2,0.7,73,18.45
2081-05-25,24,0.1,0.6,61.4,20.15
2081-05-26,24.4,0.5,1.6,66.2,19.89
2081-05-27,21.8,4.3,2.6,75.8,9.69
2081-05-28,23.5,0,1.1,48.7,24.06
2081-05-29,25,0,0.7,53.3,22.19
2081-05-30,25.9,0,0.8,56.9,23.04
2081-05-31,25.6,6.6,1.9,58.6,18.62
2081-06-01,24.1,9.9,2.5,71.9,9.10
2081-06-02,23.7,0,3.5,54.4,19.55
2081-06-03,24.6,0,3.6,52.4,20.23
2081-06-04,25.5,0,2.8,52.4,19.98
2081-06-05,24.6,0,1.8,60.3,18.19
2081-06-06,24.8,0,2.2,61.7,17.09
2081-06-07,24.5,0,2.4,64.2,17.85
2081-06-08,24.1,0,1.6,61.5,20.74
2081-06-09,25.6,0,1,59.5,21.59
2081-06-10,27.5,0.1,0.8,57,19.38
2081-06-11,28.5,0,1.2,48.8,17.94
2081-06-12,28.5,0,1.8,52.1,23.89
2081-06-13,27.9,0,1.5,70.5,14.54
2081-06-14,29,0.5,2,68.2,12.75
2081-06-15,29.1,0.3,1.9,63.4,12.50
2081-06-16,27.4,2.2,1.9,67.7,9.44
2081-06-17,26.3,28.4,3.4,76.8,6.21
2081-06-18,28,0.5,2.9,73.2,9.01
2081-06-19,29.1,26.6,2.7,71.6,8.50
2081-06-20,27.6,8.6,2.7,71.3,9.44
2081-06-21,28.4,0.2,1.6,67.4,16.32
2081-06-22,28.6,0,1.3,68.1,14.79
2081-06-23,28.7,0.1,1.2,71.6,20.49
