일시,태양광 이용률,평균 상대습도(%),합계전천일사량(MJ/m2)
2015-06-17,17.07,72.88,13.46
2015-06-18,19.67,60.22,16.49
2015-06-19,19.47,59.22,18.7
2015-06-20,4.15,87.64,3.93
2015-06-21,22.53,69.9,22.36
2015-06-22,22.18,65.36,20.12
2015-06-23,22.39,64.76,21.5
2015-06-24,19.08,65.56,17.37
2015-06-25,11.62,73.46,8.74
2015-06-26,10.68,73.12,8.99
2015-06-27,22.71,60.3,19.87
2015-06-28,23.05,66.52,22.47
2015-06-29,22.21,64.56,21.57
2015-06-30,13.03,69.64,14.11
2015-07-01,21.59,66.36,22.17
2015-07-02,19.21,65.86,17.79
2015-07-03,19.87,64.12,20.9
2015-07-04,21.58,58.56,20.89
2015-07-05,20.49,63.44,21.11
2015-07-06,21.64,60.32,21.54
2015-07-07,13.12,64.12,11.71
2015-07-08,9.04,72.88,7.93
2015-07-09,13.84,66.1,12.91
2015-07-10,17.83,67.32,15.45
2015-07-11,18.13,65.98,17.56
2015-07-12,4.74,88.6,4.19
2015-07-13,4.72,87.42,5
2015-07-14,19.94,73.9,18.36
2015-07-15,19.45,68.28,18.39
2015-07-16,21.33,54.68,19.54
2015-07-17,20.45,51.98,18.54
2015-07-18,11.37,65.82,8.13
2015-07-19,12.67,80.78,10.51
2015-07-20,10.38,78.4,10.41
2015-07-21,10.89,83,7.76
2015-07-22,13.49,79.76,10.59
2015-07-23,9.63,83.36,7.6
2015-07-24,3.7,92.24,1.74
2015-07-25,2.71,91.8,2.72
2015-07-26,15.53,81.1,18.41
2015-07-27,10.21,84.08,8.29
2015-07-28,17.69,76.62,15.86
2015-07-29,4.9,88.3,5.23
2015-07-30,15.34,79.88,15.34
2015-07-31,15.8,78.72,15.49
2015-08-01,14.56,78.64,14
2015-08-02,8.65,86.22,8.57
2015-08-03,14.65,76.58,16.1
2015-08-04,15.6,75.56,14.28
2015-08-05,15.52,73.82,17.95
2015-08-06,19.27,71.9,19.4
2015-08-07,19.15,72.72,16.24
2015-08-08,13.28,84.34,13.6
2015-08-09,17.56,77.34,15.45
2015-08-10,16.08,77.7,12.67
2015-08-11,12.76,78.04,12.55
2015-08-12,19.91,71.42,18.62
2015-08-13,16.24,78.6,15.85
2015-08-14,18.75,73.6,17.67
2015-08-15,17.53,75.9,16.1
2015-08-16,9.84,80.88,7.01
2015-08-17,19.68,71.68,18.89
2015-08-18,20.17,67,18.39
2015-08-19,11.89,76.06,10.29
2015-08-20,9.27,81.5,8.92
2015-08-21,11.35,80.02,9.83
2015-08-22,13.32,77.72,10.49
2015-08-23,18.45,72.3,16.52
2015-08-24,12.68,68.06,10.27
2015-08-25,4.56,75,3.59
2015-08-26,14.12,69.92,13.75
2015-08-27,21.63,66.02,19.11
2015-08-28,15.69,77.16,11.83
2015-08-29,19.19,72.78,16.65
2015-08-30,19.99,71.62,18.48
2015-08-31,18.32,70.48,16.37
2015-09-01,15.52,67,14.86
2015-09-02,10.68,83.48,8.78
2015-09-03,15.82,79.84,11.81
2015-09-04,17.51,75.22,16.24
2015-09-05,6.03,84.22,6.67
2015-09-06,11.35,67.78,10.83
2015-09-07,21.87,62.92,18.87
2015-09-08,22.71,54.12,19.68
2015-09-09,22.9,52.52,19.37
2015-09-10,21.29,66.4,17.83
2015-09-11,8.86,80.58,6.73
2015-09-12,12.28,71.64,10.4
2015-09-13,22.38,61.64,18.42
2015-09-14,19.29,68.98,16.32
2015-09-15,20.77,59.96,17.43
2015-09-16,19.66,57.66,16.09
2015-09-17,21.42,54.86,17.79
2015-09-18,20.1,62.78,15.74
2015-09-19,19.68,67.78,15.06
2015-09-20,15.01,74.3,13.77
2015-09-21,17.92,70.56,14.04
2015-09-22,19.02,64.82,16.14
2015-09-23,7.65,73.68,5.6
2015-09-24,16.9,70.34,13.24
2015-09-25,16.05,68.6,12.68
2015-09-26,14.25,70.74,11.78
2015-09-27,19.84,59.1,15.87
2015-09-28,14.51,54.2,13.22
2015-09-29,19.57,47.94,15.86
2015-09-30,11.41,52.46,8.89
2015-10-01,1.52,81.02,1.52
2015-10-02,17.69,62.56,14.29
2015-10-03,18,55,14.3
2015-10-04,15.66,52.14,11.96
2015-10-05,19.39,63.6,14.41
2015-10-06,17.96,69.2,13.51
2015-10-07,13.61,73.08,10.92
2015-10-08,16.31,68.04,12.26
2015-10-09,20.54,47.44,15.3
2015-10-10,7.45,81.02,4.56
2015-10-11,6.23,86.04,4.15
2015-10-12,19.17,65.84,13.59
2015-10-13,18.49,72.9,13.65
2015-10-14,16.91,72.88,12.35
2015-10-15,16.63,70.9,12.06
2015-10-16,14.32,75.08,9.03
2015-10-17,16.05,73.28,11.81
2015-10-18,13.23,77.56,10.1
2015-10-19,12.02,75.86,10.16
2015-10-20,11.93,76.04,9.37
2015-10-21,10.08,79.24,8.39
2015-10-22,10,75.14,9.14
2015-10-23,8.52,74.9,9.85
2015-10-24,12.7,70.06,8.92
2015-10-25,15.91,63.6,11.32
2015-10-26,7.87,71.2,6.46
2015-10-27,10.87,69.44,8.64
2015-10-28,16.47,56.62,11.47
2015-10-29,14.86,58.58,10.74
2015-10-30,18.15,49.74,12.3
2015-10-31,17.16,55.64,12.13
2015-11-01,8.72,59.18,7.16
2015-11-02,10.61,67.48,9.1
2015-11-03,13.11,78.1,9.84
2015-11-04,13.77,74.18,10.17
2015-11-05,11.64,72.42,8
2015-11-06,9.97,67.9,7.77
2015-11-07,1.29,88.52,1.42
2015-11-08,1.68,87.1,1.55
2015-11-09,4.6,84.44,2.44
2015-11-10,7.03,79.68,6.01
2015-11-11,9.74,78.08,8.14
2015-11-12,12.64,71.28,9.71
2015-11-13,1.32,85.46,1.23
2015-11-14,2.38,91.4,1.55
2015-11-15,9.33,81.7,8.13
2015-11-16,2.51,89.02,2.59
2015-11-17,12.31,76.08,8.88
2015-11-18,0.98,72.06,1.04
2015-11-19,2.59,78.64,2.28
2015-11-20,6.76,78.18,4.34
2015-11-21,10.57,69.24,6.91
2015-11-22,7.16,71.4,5.92
2015-11-23,3.26,81.16,2.84
2015-11-24,5.03,68.02,3.92
2015-11-25,1.57,86.6,2.11
2015-11-26,3.66,65.4,4.78
2015-11-27,6.36,61.96,4.41
2015-11-28,3.13,74.12,2.59
2015-11-29,1.5,88.26,1.04
2015-11-30,12.17,76.12,7.89
2015-12-01,12.85,70.42,7.8
2015-12-02,1.2,75.5,1.07
2015-12-03,2.05,75.08,1.87
2015-12-04,5.04,69.9,5.12
2015-12-05,9.28,60.22,7.6
2015-12-06,9.32,59.94,6.94
2015-12-07,10.62,69.02,8.1
2015-12-08,11.86,71.76,7.95
2015-12-09,9.36,71.58,6.55
2015-12-10,1.39,81.62,1.62
2015-12-11,10.16,58.02,6.33
2015-12-12,13.28,62.3,8.01
2015-12-13,12.33,63.78,7.45
2015-12-14,1.74,81.56,1.63
2015-12-15,4.74,70.36,3.35
2015-12-16,10.33,49.6,6.77
2015-12-17,13.82,45.66,8.52
2015-12-18,2.18,69.58,2.17
2015-12-19,11.45,74.36,7.92
2015-12-20,5.82,70.74,3.93
2015-12-21,3.14,84.22,2.3
2015-12-22,10.25,76.98,6.66
2015-12-23,7.16,75.8,4.94
2015-12-24,7.13,74,5.52
2015-12-25,14.14,48.9,8.43
2015-12-26,5.62,70.38,5.14
2015-12-27,14.31,39.1,8.64
2015-12-28,14.14,44.44,8.39
2015-12-29,10.75,59.1,6.91
2015-12-30,8.33,71.34,5.97
2015-12-31,7.12,81.02,5.52
2016-01-01,6.46,79.28,4.52
2016-01-02,6.58,77.1,4.15
2016-01-03,5.59,86.38,4.03
2016-01-04,12.57,52.72,7.48
2016-01-05,11.14,38.74,6.59
2016-01-06,6.36,59.26,4.87
2016-01-07,13.97,52.48,8.55
2016-01-08,13.71,54.92,8.63
2016-01-09,13.19,59.46,7.23
2016-01-10,12.17,45.12,7.75
2016-01-11,14.22,39.36,8.92
2016-01-12,14.43,50.56,9.05
2016-01-13,9.28,64.22,6.05
2016-01-14,9.75,56.2,8.2
2016-01-15,9.45,69.74,7.37
2016-01-16,5.14,74.94,4.01
2016-01-17,4.56,73.26,3.61
2016-01-18,10.9,56.76,7.04
2016-01-19,14.74,43.16,9.93
2016-01-20,11.46,54.66,7.71
2016-01-21,11.14,53.04,7.18
2016-01-22,10.76,45.9,7.9
2016-01-23,13.88,37.3,9.74
2016-01-24,13.84,44.58,9.51
2016-01-25,15.68,52.26,9.93
2016-01-26,7.16,70.78,5.77
2016-01-27,12.62,63.34,8.1
2016-01-28,6.7,58.6,5.61
2016-01-29,4.47,49.8,3.53
2016-01-30,11.11,63.24,7.65
2016-01-31,14.21,42.36,9.01
2016-02-01,16.91,38.38,10.73
2016-02-02,17.11,46.7,10.68
2016-02-03,14.81,57.7,9.84
2016-02-04,14.04,51.46,9.67
2016-02-05,14.18,43.46,9.42
2016-02-06,17.04,44.12,10.97
2016-02-07,17.59,50.72,11.36
2016-02-08,6.59,62.38,6.09
2016-02-09,16.77,50.1,11.77
2016-02-10,17.77,47.92,12
2016-02-11,9.85,39.24,7.46
2016-02-12,1.06,91.74,1.02
2016-02-13,3.97,92.3,3.76
2016-02-14,3.09,71.36,3.24
2016-02-15,20.17,49.22,13.18
2016-02-16,7.07,70.46,5.77
2016-02-17,19.02,59.28,13.01
2016-02-18,10.5,66.9,7.11
2016-02-19,5.11,67.72,3.41
2016-02-20,16.86,46.7,11.71
2016-02-21,18.75,39.46,13.62
2016-02-22,7.2,43.32,5.08
2016-02-23,17.24,54.38,11.37
2016-02-24,20.79,44.02,14.39
2016-02-25,14.38,55.22,9.74
2016-02-26,18.87,45.98,13.17
2016-02-27,11.41,67.14,9.51
2016-02-28,3.64,76.9,3.17
2016-02-29,4.59,48.68,10.43
2016-03-01,15.19,52.24,14.29
2016-03-02,10.94,69.4,10.06
2016-03-03,11.21,68.24,9
2016-03-04,16.65,61.48,13.31
2016-03-05,2.3,89.4,1.96
2016-03-06,18.15,58.94,13.65
2016-03-07,5.28,52.24,3.97
2016-03-08,8.9,40.16,5.79
2016-03-09,21.45,36.42,15.19
2016-03-10,23.15,35.7,16.58
2016-03-11,22.84,43.12,16.36
2016-03-12,14.13,59.08,10.52
2016-03-13,7.01,72.24,6.67
2016-03-14,17.25,62.52,13.25
2016-03-15,19.76,50.8,14.98
2016-03-16,20.44,48.02,15.49
2016-03-17,14.4,48.66,11.52
2016-03-18,13.88,55.82,10.56
2016-03-19,18.9,62.38,15.21
2016-03-20,17.96,60.22,15.13
2016-03-21,20.07,59.7,15.82
2016-03-22,18.79,58.22,15.24
2016-03-23,17.71,50.36,13.75
2016-03-24,22.04,42.04,17.2
2016-03-25,17.81,52.78,14.65
2016-03-26,18.7,53.16,14.41
2016-03-27,20.18,50.8,15.81
2016-03-28,20.65,45.74,16.66
2016-03-29,13.98,56.62,10.57
2016-03-30,20.22,52.18,16
2016-03-31,17.44,36.12,14.11
2016-04-01,20.26,35.5,16.69
2016-04-02,19.42,45.18,16.43
2016-04-03,3.85,68.76,2.94
2016-04-04,22.06,46.02,18.03
2016-04-05,22.35,41.3,18.81
2016-04-06,16.72,44.32,13.25
2016-04-07,17.72,69.02,14.79
2016-04-08,19.37,74.34,16.31
2016-04-09,6.45,81.9,5.91
2016-04-10,15.95,67.14,12.85
2016-04-11,22.98,44.62,19.2
2016-04-12,17.28,48.24,14.03
2016-04-13,13.74,72.84,10.31
2016-04-14,16.6,74.04,9.89
2016-04-15,22.97,49.84,19.4
2016-04-16,8.96,65.74,7.18
2016-04-17,17.72,62.66,15.25
2016-04-18,21.11,64.94,17.03
2016-04-19,23.61,59.62,19.46
2016-04-20,12.75,62.8,10.37
2016-04-21,7.83,85.3,7.27
2016-04-22,14.07,79.22,12.83
2016-04-23,17.27,52.76,13.8
2016-04-24,23.01,46.18,19.09
2016-04-25,22.62,44.58,19.59
2016-04-26,20.4,42.96,17.79
2016-04-27,6.76,41.36,4.69
2016-04-28,19.84,40.82,16.57
2016-04-29,22.84,51.28,20.2
2016-04-30,14.82,53.9,13.41
2016-05-01,19,49.46,17.36
2016-05-02,17.99,65.46,15.57
2016-05-03,1.89,85.04,1.6
2016-05-04,25.75,41.88,22.98
2016-05-05,22.24,53.88,20.52
2016-05-06,2.81,88.78,1.68
2016-05-07,24.28,62.02,21.46
2016-05-08,23.32,53.6,20.99
2016-05-09,16.59,50.42,16.42
2016-05-10,4.63,80.32,4.21
2016-05-11,24.38,63.48,22.25
2016-05-12,24.46,64.34,22.1
2016-05-13,23.7,59.92,21.15
2016-05-14,24.71,51.54,21.71
2016-05-15,13.02,74.1,11.07
2016-05-16,24.8,58.28,21.64
2016-05-17,24.84,57.7,22.87
2016-05-18,24.68,53.32,23.2
2016-05-19,24.2,47.9,22.89
2016-05-20,23.52,47.04,22.29
2016-05-21,23.81,41.44,22.5
2016-05-22,23.97,46.88,23.21
2016-05-23,19.02,52.48,17.5
2016-05-24,9.33,84.82,7.16
2016-05-25,17.21,72.24,14.46
2016-05-26,9.18,76.5,10.07
2016-05-27,19.17,67.4,17.33
2016-05-28,23.41,62.46,21.42
2016-05-29,19.01,62.66,17.77
2016-05-30,23.87,60.78,22.59
2016-05-31,21.75,68.3,20.72
2016-06-01,23.73,52.64,21.8
2016-06-02,23.89,49.98,23.55
2016-06-03,22.92,54.9,22.49
2016-06-04,10.74,62.96,7.74
2016-06-05,23.3,55.78,22.38
2016-06-06,15.39,59.28,15.55
2016-06-07,16.38,68.14,19.93
2016-06-08,19.25,69.96,19.28
2016-06-09,22.28,64.94,19.91
2016-06-10,21.11,65.02,20.55
2016-06-11,11.93,75.66,12.1
2016-06-12,13.51,79.5,13.18
2016-06-13,19.69,70.78,17.69
2016-06-14,18.79,68.4,17.2
2016-06-15,8.37,82.54,6.79
2016-06-16,16.4,74.74,17.42
2016-06-17,22.11,67.3,20.56
2016-06-18,22.77,66.58,22.37
2016-06-19,18.87,69.08,18.39
2016-06-20,17.93,68.9,18.2
2016-06-21,17.42,68.54,16.33
2016-06-22,11.97,76.32,11.62
2016-06-23,18.08,73.92,17.68
2016-06-24,10.06,80.66,8.7
2016-06-25,19.66,67.22,23.12
2016-06-26,23.59,63.26,23.61
2016-06-27,14.21,65.6,13.24
2016-06-28,21.3,64.04,20.29
2016-06-29,17.75,64.84,16.15
2016-06-30,10.57,77.94,7.42
2016-07-01,4.52,87.46,4.58
2016-07-02,13.08,81.3,10.79
2016-07-03,11.02,77.52,9.58
2016-07-04,4.37,89.38,2.87
2016-07-05,3.56,92.62,2.99
2016-07-06,13.16,83.6,11.33
2016-07-07,14.34,79.1,11.08
2016-07-08,21.56,73.02,22.75
2016-07-09,22.13,70.64,21.88
2016-07-10,19.64,71.96,19.7
2016-07-11,18.24,68.84,18.45
2016-07-12,14.06,76.08,13.99
2016-07-13,15.71,74.52,13.67
2016-07-14,18.12,70.32,13.79
2016-07-15,13.51,67.3,10.6
2016-07-16,3.03,91.52,2.05
2016-07-17,7.21,89.28,5.63
2016-07-18,15.7,79.18,15.15
2016-07-19,21.06,75.84,21.42
